source,year,active_nodes,lex_nnz
news,1990,2262,37436
news,1991,1538,16502
news,1992,2307,37630
news,1993,2353,37682
news,1994,2537,44456
news,1995,2496,42936
news,1996,2516,42552
news,1997,2607,46212
news,1998,4348,98380
news,1999,4598,102918
news,2000,4670,105066
news,2001,4602,100122
news,2002,4707,106722
news,2003,4809,110374
news,2004,5082,121806
news,2005,5232,122138
news,2006,5261,123598
news,2007,5989,157840
news,2008,6188,170218
news,2009,6005,160450
news,2010,5618,132226
news,2011,5545,123924
news,2012,5737,136986
news,2013,5894,138994
news,2014,5916,143292
news,2015,5944,138838
news,2016,6346,150480
news,2017,7235,182366
news,2018,7064,171050
news,2019,7480,192532
news,2020,7149,169838
news,2021,6990,161628
news,2022,6977,159758
news,2023,7560,183842
paper,1990,12577,399280
paper,1991,12638,403110
paper,1992,12969,429558
paper,1993,13063,432842
paper,1994,13190,441168
paper,1995,13602,470100
paper,1996,13756,478306
paper,1997,13975,479420
paper,1998,14068,492260
paper,1999,14445,513620
paper,2000,14976,550902
paper,2001,15232,571004
paper,2002,15807,613670
paper,2003,16038,620000
paper,2004,16199,632236
paper,2005,16454,643670
paper,2006,16760,660456
paper,2007,17037,673598
paper,2008,17195,681600
paper,2009,17403,695574
paper,2010,17459,695716
paper,2011,17582,702906
paper,2012,17741,708336
paper,2013,17783,709990
paper,2014,17745,714452
paper,2015,17750,705138
paper,2016,17737,692932
paper,2017,17737,696094
paper,2018,17910,704568
paper,2019,18025,711842
paper,2020,18200,721908
paper,2021,18068,714744
paper,2022,18044,700548
paper,2023,18111,709466
