subject,bases,num_bases
.net framework,framework,1
"1,2,3-triazole",triazol,1
"1,2,4-triazole",triazol,1
"1,3,5-triazine",triazin,1
"1,4-dioxane",dioxan,1
"1,4-naphthoquinone",naphthoquinon,1
1-naphthol,naphthol,1
1-propanol,propanol,1
11th century,centuri,1
12th century,centuri,1
14th century,centuri,1
15th century,centuri,1
16-bit,bit,1
16th century,centuri,1
17th century,centuri,1
18th century,centuri,1
19th century,centuri,1
"2,4-dichlorophenoxyacetic acid",acid|dichlorophenoxyacet,2
"2,4-dinitrophenol",dinitrophenol,1
2-aminopyridine,aminopyridin,1
2-naphthol,naphthol,1
2-norbornyl cation,cation|norbornyl,2
2-pyridone,pyridon,1
20th century,centuri,1
21st century,centuri,1
21st century music,centuri|music,2
21st century skills,centuri|skill,2
2nd century,centuri,1
3-d films,film,1
3-d graphics,graphic,1
3-d printers,printer,1
3-d technology,technolog,1
3-manifold,manifold,1
32-bit,bit,1
3d graphics,graphic,1
3d model,model,1
3d modeling,model,1
3d optical data storage,datum|optic|storag,3
3d printed,print,1
3d printer,printer,1
3d printing,print,1
3d reconstruction,reconstruct,1
3d scanning,scan,1
3d simulation,simul,1
4th century,centuri,1
500 khz,khz,1
5th century,centuri,1
8-bit,bit,1
8-hydroxyquinoline,hydroxyquinolin,1
a cappella,cappella,1
a priori and a posteriori,posteriori|priori,2
a priori estimate,estim|priori,2
a* search algorithm,algorithm|search,2
a-12 airplane,airplan,1
aacr,aacr,1
ab initio,initio,1
abacus (architecture),abacu|architectur,2
abalone,abalon,1
abandoned mines,abandon|mine,2
abandonment (legal),abandon|legal,2
abandonments,abandon,1
abbreviations,abbrevi,1
abbé,abbé,1
abc transporters,abc|transport,2
abdomen,abdomen,1
abdominal cavity,abdomin|caviti,2
abdominal computed tomography,abdomin|comput|tomographi,3
abdominal distension,abdomin|distens,2
abdominal fluid,abdomin|fluid,2
abdominal mass,abdomin|mass,2
abdominal muscles,abdomin|muscl,2
abdominal pain,abdomin|pain,2
abdominal surgery,abdomin|surgeri,2
abdominal ultrasound,abdomin|ultrasound,2
abdominal wall,abdomin|wall,2
abdominal wound,abdomin|wound,2
abductive reasoning,abduct|reason,2
abe (autonomous benthic explorer),abe|autonom|benthic|explor,4
abelian and tauberian theorems,abelian|tauberian|theorem,3
abelian group,abelian|group,2
abelian sandpile model,abelian|model|sandpil,3
abelmoschus,abelmoschu,1
ability,abil,1
ability tests,abil|test,2
abiogenesis,abiogenesi,1
abiotic component,abiot|compon,2
abiotic stress,abiot|stress,2
ablation,ablat,1
ableism,ableism,1
abnormal psychology,abnorm|psycholog,2
abnormality,abnorm,1
abo blood group system,abo|blood|group|system,4
abolition of slavery,abolit|slaveri,2
abolitionists,abolitionist,1
abort,abort,1
abortion,abort,1
abrasion (mechanical),abras|mechan,2
abrasive,abras,1
abrasives,abras,1
abreast of the market (wsj),abreast|market|wsj,3
abscess,abscess,1
abscesses,abscess,1
abscission,absciss,1
absentee voting,absente|vote,2
absenteeism,absente,1
absolute (philosophy),absolut|philosophi,2
absolute configuration,absolut|configur,2
absolute continuity,absolut|continu,2
absolute deviation,absolut|deviat,2
absolute pitch,absolut|pitch,2
absolute scale,absolut|scale,2
absolute threshold,absolut|threshold,2
absolute zero,absolut|zero,2
absoluteness,absolut,1
absorbance,absorb,1
absorption,absorpt,1
absorption (acoustics),absorpt|acoust,2
absorption band,absorpt|band,2
absorption capacity,absorpt|capac,2
absorption efficiency,absorpt|effici,2
absorption of water,absorpt|water,2
absorption rate,absorpt|rate,2
absorption rates,absorpt|rate,2
absorption spectroscopy,absorpt|spectroscopi,2
absorptive capacity,absorpt|capac,2
abstinence,abstin,1
abstract art,abstract|art,2
abstract data type,abstract|datum|type,3
abstract interpretation,abstract|interpret,2
abstract machine,abstract|machin,2
abstracting,abstract,1
abstraction,abstract,1
absurdism,absurd,1
absurdity,absurd,1
abundance (ecology),abund|ecolog,2
abusive supervision,abus|supervis,2
abutment,abut,1
abx test,abx|test,2
abyssal zone,abyss|zone,2
acacia,acacia,1
acacia mangium,acacia|mangium,2
acacia mearnsii,acacia|mearnsii,2
academic achievement,academ|achiev,2
academic achievement gaps,academ|achiev|gap,3
academic careers,academ|career,2
academic community,academ|commun,2
academic degrees,academ|degre,2
academic disciplines,academ|disciplin,2
academic failure,academ|failur,2
academic freedom,academ|freedom,2
academic grading,academ|grade,2
academic guidance counseling,academ|counsel|guidanc,3
academic institution,academ|institut,2
academic integrity,academ|integr,2
academic libraries,academ|librari,2
academic library,academ|librari,2
academic marketing,academ|market,2
academic medicine,academ|medicin,2
academic misconduct,academ|misconduct,2
academic probation,academ|probat,2
academic publications,academ|public,2
academic readiness,academ|readi,2
academic skills,academ|skill,2
academic standards,academ|standard,2
academic writing,academ|write,2
academic year,academ|year,2
academy awards,academi|award,2
acadian culture,acadian|cultur,2
