source,year,rows,docs,unique_subjects,docs_with_ge2_subjects,share_docs_with_ge2_subjects,nnz,unique_edges,density,total_weight,mean_edge_weight,max_edge_weight,path
news,1990,19414,2737,2440,2618,0.9565217391304348,87702,43851,7.410192504755973e-05,19295.0,0.22000640630722046,26.92831802368164,/root/project/outputs/networks/news_1990_adj.npz
news,1991,8290,1642,1674,1554,0.9464068209500609,30676,15338,2.5919028673906433e-05,8202.001953125,0.2673751413822174,28.319786071777344,/root/project/outputs/networks/news_1991_adj.npz
news,1992,20952,3118,2403,3002,0.962796664528544,79122,39561,6.685243795595334e-05,20835.998046875,0.26334017515182495,46.71156692504883,/root/project/outputs/networks/news_1992_adj.npz
news,1993,18026,2899,2446,2789,0.9620558813383926,76248,38124,6.442411325883484e-05,17916.0,0.2349700927734375,88.72502899169922,/root/project/outputs/networks/news_1993_adj.npz
news,1994,24750,3892,2651,3748,0.9630010277492291,93742,46871,7.920529358290966e-05,24606.0,0.26248642802238464,84.14997100830078,/root/project/outputs/networks/news_1994_adj.npz
news,1995,20352,3370,2666,3244,0.9626112759643917,82574,41287,6.9769131363905e-05,20226.0,0.24494394659996033,138.85276794433594,/root/project/outputs/networks/news_1995_adj.npz
news,1996,16035,2632,2666,2539,0.9646656534954408,70386,35193,5.947114200813594e-05,15942.001953125,0.22649390995502472,35.6744384765625,/root/project/outputs/networks/news_1996_adj.npz
news,1997,19794,2881,2792,2787,0.9673724401249566,89920,44960,7.597597660573955e-05,19700.0,0.21908363699913025,33.916664123535156,/root/project/outputs/networks/news_1997_adj.npz
news,1998,106686,16217,4402,15793,0.9738545970278103,252648,126324,0.00021346951220514775,106262.03125,0.4205930829048157,632.3275756835938,/root/project/outputs/networks/news_1998_adj.npz
news,1999,120309,17687,4668,17262,0.9759710521852207,277858,138929,0.00023477016134027556,119884.046875,0.4314578175544739,648.0918579101562,/root/project/outputs/networks/news_1999_adj.npz
news,2000,128047,18451,4796,17977,0.9743103354831717,297198,148599,0.0002511110797961809,127573.0390625,0.42925259470939636,582.3914794921875,/root/project/outputs/networks/news_2000_adj.npz
news,2001,118660,17493,4709,16877,0.9647859143657463,285656,142828,0.0002413589142936959,118044.015625,0.4132383465766907,675.7894287109375,/root/project/outputs/networks/news_2001_adj.npz
