source,year,rows,docs,unique_subjects,docs_with_ge2_subjects,share_docs_with_ge2_subjects,nnz,unique_edges,density,total_weight,mean_edge_weight,max_edge_weight,path
paper,1990,382163,77352,12613,70795,0.9152316682180164,794478,397239,0.0006712771568257868,375602.90625,0.47276702523231506,422.209716796875,/root/project/outputs/networks/paper_1990_adj.npz
paper,1991,411079,81844,12678,75322,0.920311812716876,834932,417466,0.000705457897012715,404551.90625,0.4845328629016876,461.5987243652344,/root/project/outputs/networks/paper_1991_adj.npz
paper,1992,449735,88870,13002,81979,0.9224597727016991,891628,445814,0.000753361966959768,442842.90625,0.4966680109500885,508.8316955566406,/root/project/outputs/networks/paper_1992_adj.npz
paper,1993,470098,93556,13102,86133,0.9206571465218693,923918,461959,0.0007806447103383193,462672.875,0.5007726550102234,579.67431640625,/root/project/outputs/networks/paper_1993_adj.npz
paper,1994,498592,98664,13220,91244,0.9247952647368848,967050,483525,0.0008170881692235369,491165.9375,0.5079013109207153,561.9186401367188,/root/project/outputs/networks/paper_1994_adj.npz
paper,1995,520252,102530,13643,94842,0.9250170681751683,1006472,503236,0.0008503969431309152,512559.96875,0.5092641711235046,629.3929443359375,/root/project/outputs/networks/paper_1995_adj.npz
paper,1996,567840,111007,13791,102738,0.9255092021223886,1070184,535092,0.0009042290318932026,559565.0,0.5228680372238159,687.2140502929688,/root/project/outputs/networks/paper_1996_adj.npz
paper,1997,589878,115358,14003,107028,0.9277900102290262,1097626,548813,0.0009274155615864266,581542.0,0.5298179984092712,800.2114868164062,/root/project/outputs/networks/paper_1997_adj.npz
paper,1998,626244,122727,14091,113760,0.9269353931897626,1144734,572367,0.0009672184564478943,617270.0,0.5392257571220398,789.6935424804688,/root/project/outputs/networks/paper_1998_adj.npz
paper,1999,688872,132744,14485,123468,0.93012113541855,1233524,616762,0.0010422396637746695,679592.125,0.5509355068206787,902.721435546875,/root/project/outputs/networks/paper_1999_adj.npz
paper,2000,793646,154308,15013,143596,0.9305803976462659,1366244,683122,0.0011543785829818954,782929.125,0.5730520486831665,997.9659423828125,/root/project/outputs/networks/paper_2000_adj.npz
paper,2001,856797,164762,15267,154159,0.9356465689904225,1451994,725997,0.0012268312074696862,846184.0625,0.5827738642692566,1055.7940673828125,/root/project/outputs/networks/paper_2001_adj.npz
paper,2002,1763768,309054,15829,296530,0.959476337468533,2073016,1036508,0.0017515504350458606,1751229.5,0.844773530960083,2766.288330078125,/root/project/outputs/networks/paper_2002_adj.npz
paper,2003,1454477,264528,16077,251481,0.9506781890763927,1954250,977125,0.0016512016490409977,1441421.125,0.7375825047492981,1835.0084228515625,/root/project/outputs/networks/paper_2003_adj.npz
paper,2004,1481335,272472,16243,258408,0.9483836871311547,2000518,1000259,0.001690294803907483,1467253.75,0.7334371209144592,1823.462890625,/root/project/outputs/networks/paper_2004_adj.npz
paper,2005,1750714,320673,16486,304456,0.9494282337459031,2212418,1106209,0.0018693351669274586,1734485.875,0.7839774489402771,2325.423583984375,/root/project/outputs/networks/paper_2005_adj.npz
paper,2006,1996409,361921,16796,344385,0.9515474371478858,2394038,1197019,0.0020227910929854482,1978858.75,0.8265776038169861,2700.11962890625,/root/project/outputs/networks/paper_2006_adj.npz
paper,2007,2079305,378414,17066,360219,0.9519177408869651,2495538,1247769,0.00210855134237916,2061100.875,0.8259140849113464,2872.409423828125,/root/project/outputs/networks/paper_2007_adj.npz
paper,2008,2256381,407755,17235,388673,0.9532022905911638,2637048,1318524,0.002228117183676738,2237286.0,0.8484057784080505,3089.714111328125,/root/project/outputs/networks/paper_2008_adj.npz
paper,2009,2486322,449786,17438,427907,0.9513568674880943,2801896,1400948,0.002367401967834911,2464430.0,0.8795580863952637,3586.738037109375,/root/project/outputs/networks/paper_2009_adj.npz
paper,2010,2715153,488643,17491,466088,0.9538415571286195,2968226,1484113,0.0025079389361270894,2692584.25,0.9071359634399414,3889.837890625,/root/project/outputs/networks/paper_2010_adj.npz
paper,2011,2865469,518107,17621,493136,0.9518033919634361,3070392,1535196,0.0025942619079453943,2840482.75,0.9251204133033752,4038.18701171875,/root/project/outputs/networks/paper_2011_adj.npz
paper,2012,2929863,532087,17775,505291,0.949639814541607,3134486,1567243,0.0026484167594196858,2903049.5,0.9261648654937744,4230.18603515625,/root/project/outputs/networks/paper_2012_adj.npz
paper,2013,3021880,548162,17820,520044,0.9487049448885548,3188414,1594207,0.0026939820670975586,2993750.75,0.9389467835426331,4440.6142578125,/root/project/outputs/networks/paper_2013_adj.npz
paper,2014,3076344,559307,17784,529865,0.9473598578240573,3227668,1613834,0.0027271488930059404,3046889.25,0.9439916014671326,4516.79443359375,/root/project/outputs/networks/paper_2014_adj.npz
