rank	token	news_count	paper_count	total_count
1	automation	4117	144	4261
2	software	2031	356	2387
3	office_automation	849	12	861
4	manufacturing	719	25	744
5	politics	20	716	736
6	cost_control	716	16	732
7	productivity	503	76	579
8	data_processing	490	68	558
9	small_business	520	9	529
10	financial_services	439	16	455
11	fuzzy_logic	118	313	431
12	information_technology	310	54	364
13	architecture	172	159	331
14	retail_banking	324	6	330
15	electronic_data_interchange	298	18	316
16	visualization	41	271	312
17	information_management	270	20	290
18	earnings	240	18	258
19	computer_programming	232	14	246
20	pharmaceutical_industry	230	6	236
21	radar	36	192	228
22	agriculture	141	77	218
23	user_interface	137	79	216
24	inventory_control	178	35	213
25	documentation	130	77	207
26	publishing	155	50	205
27	revenue	165	34	199
28	competitive_advantage	165	32	197
29	health_care	42	151	193
30	strategic_planning	147	38	185
31	access_control	156	26	182
32	data_compression	99	76	175
33	computer_graphics	46	129	175
34	photography	135	39	174
35	virtual_reality	94	78	172
36	financial_analysis	160	9	169
37	cybernetics	121	41	162
38	information_storage	138	17	155
39	legislation	105	50	155
40	data_collection	78	75	153
41	bankruptcy	140	9	149
42	electronics	101	48	149
43	purchasing	111	37	148
44	technology_transfer	128	18	146
45	aviation	115	29	144
46	welfare	98	45	143
47	higher_education	55	86	141
48	interactive_television	135	5	140
49	interactive_media	121	18	139
50	application_programming_interface	131	5	136
51	cancer	36	99	135
52	cash_flow	117	17	134
53	law_enforcement	119	15	134
54	local_government	114	16	130
55	workforce	110	18	128
56	magnetic_resonance_imaging	22	106	128
57	clothing	100	24	124
58	intellectual_property	105	19	124
59	personality	22	102	124
60	interpersonal_communication	46	77	123
61	natural_language	27	95	122
62	financial_management	114	6	120
63	negotiation	37	82	119
64	preventive_maintenance	98	20	118
65	technological_change	53	65	118
66	mental_health	74	43	117
67	petroleum_industry	96	21	117
68	tourism	76	41	117
69	strategic_management	95	21	116
70	medical_imaging	52	64	116
71	medical_research	107	8	115
72	real_estate	106	9	115
73	corporate_identity	106	5	111
74	pharmacy	77	32	109
75	currency	90	19	109
76	animation	34	73	107
77	digitization	81	25	106
78	plasma	20	86	106
79	systems_design	62	43	105
80	potassium	86	17	103
81	word_processing	83	17	100
82	interoperability	58	42	100
83	radiation	33	65	98
84	cable_television	90	8	98
85	dilution	82	16	98
86	silicon	22	75	97
87	underwriting	88	7	95
88	unemployment	84	11	95
89	asthma	82	13	95
90	immune_system	65	29	94
91	cad	14	79	93
92	space_shuttle	50	42	92
93	business_information	86	6	92
94	organizational_structure	63	28	91
95	air_conditioning	56	35	91
96	standardization	22	68	90
97	air_traffic_control	69	20	89
98	air_pollution	60	28	88
99	science_education	56	29	85
100	fault_tolerance	52	33	85
101	human_resource_management	67	16	83
102	spelling	37	45	82
103	product_testing	70	11	81
104	nitrogen	51	30	81
105	electricity	41	38	79
106	physical_fitness	72	7	79
107	risk_management	54	25	79
108	customer_satisfaction	67	12	79
109	information_processing	18	60	78
110	computer_aided_design	18	60	78
111	organizational_change	64	12	76
112	professional_development	35	41	76
113	project_management	29	46	75
114	life_insurance	67	8	75
115	immigration	32	43	75
116	sonar	11	62	73
117	logic_programming	22	51	73
118	usability	28	44	72
119	certification	36	36	72
120	fishing	58	14	72
121	market_research	65	6	71
122	radio_frequency	34	37	71
123	ethernet	47	24	71
124	pragmatics	38	31	69
125	educational_technology	45	24	69
126	traffic_congestion	48	20	68
127	accreditation	40	27	67
128	handwriting	24	43	67
129	human_rights	46	21	67
130	photosynthesis	56	10	66
131	market_segmentation	33	33	66
132	middle_east	59	6	65
133	sales_management	53	12	65
134	aerial_photography	52	13	65
135	public_policy	21	44	65
136	alcohol	35	29	64
137	literacy	27	37	64
138	free_trade	58	6	64
139	sodium	49	15	64
140	confidentiality	45	18	63
141	blindness	51	12	63
142	remote_control	42	20	62
143	cement	43	18	61
144	solid_modeling	37	24	61
145	data_entry	48	12	60
146	liability	30	30	60
147	relocation	46	13	59
148	credit_risk	50	8	58
149	data_integrity	34	24	58
150	gallium_arsenide	34	23	57
151	antibiotics	41	16	57
152	kinetics	8	49	57
153	continuing_education	44	12	56
154	nursing_homes	48	7	55
155	linear_algebra	30	23	53
156	space_exploration	33	19	52
157	private_sector	36	15	51
158	human_resources	38	13	51
159	electromyography	31	19	50
160	visual_communication	33	17	50
161	graduate_students	26	24	50
162	legal_research	41	8	49
163	empowerment	23	26	49
164	sales_forecasting	43	5	48
165	computer_simulation	20	27	47
166	systems_science	35	11	46
167	business_ethics	25	21	46
168	shipbuilding	34	11	45
169	personnel_selection	13	32	45
170	case_management	35	10	45
171	international_business	35	9	44
172	indoor_air_quality	34	10	44
173	laparoscopy	35	9	44
174	arbitration	31	13	44
175	visual_impairment	39	5	44
176	treasure	38	6	44
177	night_vision	35	9	44
178	hypertext	8	36	44
179	recreation	13	30	43
180	bone_marrow	35	8	43
181	judaism	18	24	42
182	vocational_education	20	22	42
183	building_automation	36	6	42
184	middle_class	16	25	41
185	english_language	29	12	41
186	natural_gas	29	11	40
187	energy_consumption	22	18	40
188	jurisdiction	31	9	40
189	informatics	26	13	39
190	transportation_planning	11	28	39
191	morality	22	16	38
192	jazz	31	7	38
193	cats	27	11	38
194	burnout	25	12	37
195	inventory_management	31	6	37
196	poliomyelitis	31	5	36
197	energy_conservation	22	14	36
198	cost_accounting	26	10	36
199	job_satisfaction	15	20	35
200	water_quality	13	22	35
201	signal_transduction	24	11	35
202	japanese_language	30	5	35
203	economies_of_scale	24	10	34
204	retail_sales	28	6	34
205	journalism	23	10	33
206	environmental_policy	22	11	33
207	military_strategy	26	7	33
208	commercialization	18	14	32
209	batch_processing	23	9	32
210	turnover	22	10	32
211	rapid_prototyping	15	16	31
212	willingness_to_pay	21	10	31
213	school_choice	24	6	30
214	social_policy	13	17	30
215	quality_of_service	10	18	28
216	chemical_industry	19	9	28
217	human_error	7	21	28
218	default	9	18	27
219	sugar	14	13	27
220	waste_disposal	17	9	26
221	racism	17	9	26
222	water_supply	10	16	26
223	cost_analysis	20	5	25
224	loneliness	17	8	25
225	ozone	19	6	25
226	legal_profession	15	10	25
227	nova_scotia	17	7	24
228	gasoline	17	6	23
229	continuous_casting	15	8	23
230	deregulation	15	8	23
231	weather_forecasting	13	8	21
232	social_security	12	8	20
233	special_effects	15	5	20
234	apprenticeship	10	8	18
235	computer_literacy	8	9	17
236	news_media	8	8	16
