year,source,rit_mean,rit_ci,sit_mean,sit_ci,herfindahl_mean,herfindahl_ci,cit_mean,cit_ci
1990,paper,0.38632069194943447,0.0047369897644481745,1213.0,12.066343273751166,0.06520643702126924,0.0015496950561343411,,
1991,paper,0.3937689368989593,0.007002847889166723,1198.0,4.687638211295749,0.07344103619334404,0.0007613653291776611,0.573948780997942,0.006587135680975948
1992,paper,0.3859619830464937,0.0032456005485974842,1259.4,12.443144554331914,0.0702967940948602,0.002484375917337159,0.5604749887328961,0.006455702581843628
1993,paper,0.39173574478774176,0.0032043641885692105,1242.0,18.277459779739633,0.086378128063558,0.0017944942945013985,0.567251124138098,0.004484171725783036
1994,paper,0.3928844493772351,0.0024860452364726415,1250.7,13.73972581968068,0.08719215588845028,0.001989254552839989,0.5594890809975752,0.004566315664241482
1995,paper,0.38996531515368976,0.002904796330639378,1303.3,24.433347736239497,0.08976008694614025,0.0027273234400256945,0.5603271985178317,0.0031787844639959155
1996,paper,0.3939932219235714,0.0032583757655602324,1289.7,15.252905873963819,0.09508422688627688,0.00138005814240647,0.5610902872375172,0.0033117510929057243
1997,paper,0.3957228984188374,0.0038997169253147694,1287.9,9.478986359310788,0.09961219884876862,0.0020407047626926625,0.5562615711198753,0.004539319895823627
1998,paper,0.3999554019400156,0.005426231417268433,1338.6,10.275336218343416,0.09921708590187808,0.0021055829075950026,0.5560348908631647,0.00397045217865677
1999,paper,0.3969182525951557,0.0031168609992275696,1416.5,24.26168089807464,0.09889131120737231,0.0016360665657929447,0.5536522493002984,0.004809915741199923
2000,paper,0.38682544467892677,0.007474355632177852,1408.7,25.10797486058961,0.10938180777357778,0.003752821488833287,0.5534870751286952,0.008765422384629719
2001,paper,0.3935109625405565,0.0023825664766240627,1455.1,39.60892806426349,0.11346932098943222,0.002360000058558717,0.5411273386711817,0.006143278395272154
2002,paper,0.406864064602961,0.0033156938309044292,1624.5,27.998858976751176,0.11997944744407663,0.0021242993854721044,0.5556627305495333,0.004037735734781381
2003,paper,0.3947901849217639,0.004165723122273051,1593.5,37.91194313141968,0.11651677474472491,0.0027128873887181542,0.5012847130752618,0.0047083165736469266
2004,paper,0.40101010101010093,0.003290461633022892,1538.1,21.381884257473658,0.13570296186119019,0.0022739787108284125,0.5181829436691169,0.0030378795623817404
2005,paper,0.4025397359347406,0.0037201490625578953,1637.6,36.397152504007785,0.1328778850233942,0.0024520190489507195,0.5087416567061535,0.004933419289835635
2006,paper,0.40134892086330937,0.003756696072135498,1686.7,27.61034128003491,0.13486623042449022,0.0032349249667528884,0.5043352837907935,0.004378416006985152
2007,paper,0.4006626746506986,0.004081585434880969,1706.7,43.32269541014271,0.14091232206877397,0.0027624626648678737,0.49757094034094146,0.004816026496724176
2008,paper,0.4077036691542288,0.005893483983737943,1696.7,47.629250189353186,0.142958729173615,0.0033456403548738373,0.49985939347449937,0.005869448322745402
2009,paper,0.3963980325387817,0.005294464235301983,1725.6,61.69250617700661,0.14963472093898228,0.004580451910355553,0.48138048504154207,0.005469079081062371
2010,paper,0.4004455666122085,0.004042368338027129,1770.7,57.70198056912778,0.1475373467606706,0.0033341471489582706,0.4824255729650223,0.0051071778587130365
2011,paper,0.4061739257955712,0.003263918592408376,1837.3,39.07637405901423,0.14496680897735942,0.0021372478054447956,0.4798981525033046,0.0027712942881005314
2012,paper,0.3972041141532667,0.0026892811374757803,1769.3,26.201102297422523,0.15197181064049956,0.002141248331887854,0.4689556851288564,0.003751753345747285
2013,paper,0.40316262875380815,0.004647607525238348,1767.5,68.14672247437876,0.15669910300927464,0.004157386071083402,0.4685705151501168,0.005571729055821735
2014,paper,0.4058225108225108,0.004852918385407166,1828.6,60.66711351630305,0.15893187795845548,0.004334550601316119,0.47011015484196017,0.0031735241163835613
2015,paper,0.4052316351565882,0.005126453267823133,1857.5,56.544726155495695,0.1544085892955444,0.004060459403034332,0.46648587478662584,0.004713851481172066
2016,paper,0.4089307720188474,0.0035685566970203838,1836.8,28.557946592848722,0.1559277519302258,0.002344235519815128,0.47236284154436997,0.0053067354308699525
2017,paper,0.4078754315304948,0.003688612108722641,1802.4,50.52026894623582,0.15765381113638494,0.00399255860625894,0.47454971032049026,0.005386817717896926
2018,paper,0.4048745926030891,0.0041085670267850686,1809.8,37.58583001078998,0.16658318573946101,0.0035885314889096643,0.4701791117221553,0.004508108584065161
2019,paper,0.41059946651691703,0.004075888786007463,1929.7,60.16021969374779,0.16084664745910765,0.002907913220423946,0.4718149183250258,0.005576969340454388
2020,paper,0.4136780650542118,0.004911460030293353,1892.3,57.89804834016428,0.16697798457065627,0.003334114385382272,0.4660882357867657,0.004573890968566429
2021,paper,0.41492339832869074,0.0028915355720046886,1924.6,40.21029687032911,0.16310816646943105,0.0032581919543391426,0.45583407556088834,0.0031423711459487233
2022,paper,0.41975106685633,0.006060919700414737,1976.1,76.21726574995982,0.15627894231938724,0.003482860982491937,0.4585312863819655,0.005446826381805113
2023,paper,0.42022682994711946,0.004678889357858432,1960.1,61.31978328728828,0.16302168224257801,0.0038178697503258472,0.46203062263353456,0.004099222514598215
