K,V,BIC,variant,spec
0,191.99999999999997,191.99999999999997,raw,news
1,89.53119982242225,93.60103881706618,raw,news
2,60.44265137214187,68.58232936142974,raw,news
3,45.55192650994878,57.76144349388059,raw,news
4,41.64515196032331,57.92450793889906,raw,news
5,39.331559055399595,59.68075402861928,raw,news
0,192.0,192.0,raw,paper
1,68.6601213098446,71.28805232067796,raw,paper
2,44.13124925264153,49.387111274308275,raw,paper
3,37.193347361929426,45.07714039442954,raw,paper
4,31.72499525498059,42.23671929831408,raw,paper
5,27.26256348951499,40.40221854368185,raw,paper
0,383.99999999999994,383.99999999999994,raw,joint
1,175.60890928185654,182.30667928733385,raw,joint
2,118.530124856254,131.92566486720864,raw,joint
3,87.32159363471001,107.41490365114194,raw,joint
4,77.82556958375521,104.61664960566445,raw,joint
5,70.3083812908551,103.79723131824164,raw,joint
0,71.5537656525378,71.5537656525378,detrended,news
1,63.06982200129502,67.05888408600933,detrended,news
2,50.721997436041256,58.700121605469874,detrended,news
3,41.30618879797323,53.27337505211615,detrended,news
4,37.71789662368539,53.67414496254262,detrended,news
5,36.75770757738012,56.70301800095165,detrended,news
0,34.7661472734572,34.7661472734572,detrended,paper
1,32.5174621785084,35.0364504704029,detrended,paper
2,28.773648465549293,33.81162504933829,detrended,paper
3,26.701879872623984,34.25884474830748,detrended,paper
4,24.712994826964533,34.788947994542525,detrended,paper
5,22.7570991541921,35.35204061366459,detrended,paper
0,106.31991292599501,106.31991292599501,detrended,joint
1,97.26512865210839,103.7731790287172,detrended,joint
2,83.88325501430539,96.899355767523,detrended,joint
3,70.61515646747203,90.13930759729845,detrended,joint
4,65.40299466191705,91.43519616835226,detrended,joint
5,61.00718618096755,93.54743806401157,detrended,joint
