variant,domain,period,years,n,C,R,S,H,D,M
raw,news,P1,1991–1997,7,1.21,1.74,-1.62,-1.52,-0.71,-1.24
raw,news,P2,1998–2008,11,0.08,-0.29,0.07,0.04,0.46,-0.51
raw,news,P3,2009–2016,8,-0.74,-0.26,0.25,0.12,-0.66,0.61
raw,news,P4,2017–2023,7,-0.49,-0.99,1.22,1.32,0.74,1.35
raw,paper,P1,1991–1995,5,1.36,-1.23,-1.51,-1.62,1.1,-1.45
raw,paper,P2,1996–2001,6,1.1,-0.81,-1.04,-0.92,-0.02,-0.87
raw,paper,P3,2002–2006,5,0.22,-0.03,-0.04,-0.08,0.43,-0.31
raw,paper,P4,2007–2012,6,-0.57,-0.01,0.51,0.53,0.28,0.25
raw,paper,P5,2013–2018,6,-0.93,0.51,0.77,0.93,-0.91,0.85
raw,paper,P6,2019–2023,5,-1.11,1.64,1.26,1.05,-0.74,1.49
detrended,news,P1,1991–1997,7,0.3,0.66,-0.41,-0.32,-0.39,0.1
detrended,news,P2,1998–2009,12,-0.27,-0.58,0.4,0.42,0.5,-0.1
detrended,news,P3,2010–2016,7,-0.25,0.23,-0.29,-0.52,-0.89,0.05
detrended,news,P4,2017–2023,7,0.42,0.1,0.01,0.13,0.42,0.01
detrended,paper,P1,1991–2002,12,0.18,0.08,-0.09,-0.12,-0.18,0.01
detrended,paper,P2,2003–2015,13,-0.29,-0.16,0.2,0.24,0.25,-0.01
detrended,paper,P3,2016–2023,8,0.21,0.15,-0.18,-0.22,-0.14,0.0
