variant,spec,min_size,K,boundaries
raw,news,4,5,"[1998, 2002, 2009, 2016, 2020]"
raw,paper,4,5,"[1995, 2002, 2009, 2013, 2019]"
raw,joint,4,5,"[1998, 2002, 2009, 2013, 2019]"
detrended,news,4,4,"[1998, 2002, 2010, 2017]"
detrended,paper,4,3,"[2009, 2013, 2019]"
detrended,joint,4,4,"[1998, 2002, 2010, 2017]"
raw,news,5,3,"[1998, 2009, 2017]"
raw,paper,5,5,"[1996, 2002, 2007, 2013, 2019]"
raw,joint,5,5,"[1998, 2003, 2009, 2014, 2019]"
detrended,news,5,3,"[1998, 2010, 2017]"
detrended,paper,5,2,"[2003, 2016]"
detrended,joint,5,3,"[1998, 2009, 2017]"
raw,news,6,3,"[1998, 2009, 2017]"
raw,paper,6,4,"[1997, 2003, 2009, 2015]"
raw,joint,6,4,"[1998, 2004, 2010, 2017]"
detrended,news,6,3,"[1998, 2010, 2017]"
detrended,paper,6,2,"[2003, 2016]"
detrended,joint,6,3,"[1998, 2009, 2017]"
raw,news,7,3,"[1998, 2009, 2017]"
raw,paper,7,3,"[1998, 2005, 2015]"
raw,joint,7,3,"[1998, 2006, 2017]"
detrended,news,7,3,"[1998, 2010, 2017]"
detrended,paper,7,2,"[2003, 2016]"
detrended,joint,7,3,"[1998, 2009, 2017]"
