,D
1990,
1991,0.02561100758612156
1992,0.015720132738351822
1993,0.016933169215917587
1994,0.01844584196805954
1995,0.013286503031849861
1996,0.014807652682065964
1997,0.019663967192173004
1998,0.023881036788225174
1999,0.029628058895468712
2000,0.024258721619844437
2001,0.019935326650738716
2002,0.019933288916945457
2003,0.021215401589870453
2004,0.01996423676609993
2005,0.0220325980335474
2006,0.017810069024562836
2007,0.02214273437857628
2008,0.02311982586979866
2009,0.020068729296326637
2010,0.016591427847743034
2011,0.014393134973943233
2012,0.016924317926168442
2013,0.019374802708625793
2014,0.018649842590093613
2015,0.01843630149960518
2016,0.019243909046053886
2017,0.02057860605418682
2018,0.018831422552466393
2019,0.0225837379693985
2020,0.024173002690076828
2021,0.025524798780679703
2022,0.02552315592765808
2023,0.02527226135134697
