year,C,R,S,H,D,M
1990,,0.6220491803278688,354.4,0.0658874715282698,,1.0
1991,0.5087543436730974,0.650836320191159,303.5,0.031964798681569,0.02561100758612156,1.928904134871405
1992,0.6512701523597053,0.6111943404078236,350.8,0.0584965595588585,0.015720132738351822,2.184915974317986
1993,0.5275590567834596,0.6201962387571547,392.2,0.0633493691560563,0.016933169215917587,3.2026639322553336
1994,0.5323741970967764,0.601508864579404,379.2,0.078859284956761,0.01844584196805954,3.7977198025134626
1995,0.5207416162128794,0.6070517629407352,388.9,0.0714064451962863,0.013286503031849861,4.4462015852853245
1996,0.5330827511545354,0.6315078769692423,437.5,0.0565845985978583,0.014807652682065964,5.035378394474941
1997,0.547319481871443,0.6349570200573066,443.3,0.0614042398293657,0.019663967192173004,5.01146008900361
1998,0.5942195314044092,0.546842344388914,637.4,0.1223423861994601,0.023881036788225174,4.74887072819625
1999,0.4894159869458436,0.5448371893744646,668.3,0.1190982164073642,0.029628058895468712,5.633860872713711
2000,0.4899998107590735,0.5515846538782319,716.4,0.1142884035172966,0.024258721619844437,6.474911429979725
2001,0.471289063174998,0.5416224251433426,721.1,0.115876579428481,0.019935326650738716,7.29535010422421
2002,0.4884985748941308,0.54803982576229,711.3,0.1257707423397982,0.019933288916945457,8.181363160548422
2003,0.4850173792422645,0.5496536267318664,710.4,0.1133826057829251,0.021215401589870453,8.627217342898453
2004,0.4901561799479084,0.5442761265580057,788.9,0.1314140362822551,0.01996423676609993,10.082055822172997
2005,0.4884681344025581,0.5511771300448431,782.1,0.1185899492128933,0.0220325980335474,11.08956116315818
2006,0.4739667256735386,0.5523880044427989,823.4,0.115140426653127,0.017810069024562836,11.929700114177821
2007,0.50867426421849,0.555727051177904,855.7,0.155160349851101,0.02214273437857628,12.063772037949256
2008,0.4585203382826986,0.555828125,830.0,0.1573460174528876,0.02311982586979866,12.57903697517007
2009,0.4365060642375032,0.554062398440039,762.0,0.1570636266541673,0.020068729296326637,13.808274664181932
2010,0.4463071228119924,0.5637266864214746,712.8,0.1240306860328546,0.016591427847743034,14.63060777499925
2011,0.4487383218285217,0.5619661136604306,763.3,0.1149364384541526,0.014393134973943233,16.126373705491055
2012,0.4635052076852217,0.5576712328767123,780.8,0.1210790488078279,0.016924317926168442,16.84907908542355
2013,0.4642806125813776,0.5441225165562914,790.4,0.1240988534199074,0.019374802708625793,17.965894780168032
2014,0.4661402819918445,0.5484998351467194,804.7,0.1232423132757219,0.018649842590093613,18.685971153359144
2015,0.4588032866153959,0.5417175887696118,843.3,0.1331064906509615,0.01843630149960518,19.194999295591582
2016,0.4743651733321923,0.5329510229386236,848.6,0.1410722128544716,0.019243909046053886,19.810975535625154
2017,0.5217812040887676,0.5285050948020121,1052.7,0.1574017601958321,0.02057860605418682,19.553924364965315
2018,0.4618632206161031,0.5276363636363637,1050.1,0.1826715910922438,0.018831422552466393,21.64188562457749
2019,0.4942779891118382,0.5237173885906878,1069.4,0.1741086068266365,0.0225837379693985,21.168875717328454
2020,0.4567253586790389,0.5235192563081009,1055.8,0.1803244787943176,0.024173002690076828,22.747108675465515
2021,0.4496983644145357,0.5253483835005573,947.3,0.1863201820913803,0.025524798780679703,23.01029150095715
2022,0.4406796226806368,0.5302810009786103,867.0,0.1807354470819028,0.02552315592765808,24.529444888381814
2023,0.454798139821191,0.5114930863884308,935.8,0.2044197773336109,0.02527226135134697,25.30700203532829
