year,C,R,S,H,D,M
1990,,1.6592821373732278,-1.6893372748540898,-1.3480195651998845,,-1.5452112701517753
1991,0.3995736771576846,2.450273028003665,-1.922677558979372,-2.1491152670203553,1.399456852150324,-1.4188936604700226
1992,3.5787600702096034,1.3610211938830934,-1.7058407134169782,-1.5225585184830044,-1.277974682530477,-1.3840797303828263
1993,0.819061792873836,1.6083684338839008,-1.5160511699437622,-1.4079577342925458,-0.949609177179346,-1.2456806378619085
1994,0.9264760419021325,1.0948911376120019,-1.5756469203097478,-1.0416856855158718,-0.5401329892210586,-1.164761593219581
1995,0.6669810202411689,1.2471946360604307,-1.5311793219597434,-1.2176870850946686,-1.9367512842173922,-1.0765773924535427
1996,0.9422821860760944,1.91918092954549,-1.3083829013607506,-1.5677101406687766,-1.5249804241932539,-0.9964578156071575
1997,1.2598695540590117,2.013953830781813,-1.2817940281205416,-1.453892638954645,-0.21038997473261617,-0.9997103613342736
1998,2.3060973422796622,-0.40719346330674816,-0.39198363227147864,-0.014817146448542522,0.9311587046503466,-1.035418739777047
1999,-0.03181874967451436,-0.46228957074443094,-0.25032911794002044,-0.09142934290394623,2.486861153348419,-0.9150728015357122
2000,-0.018795038550355875,-0.2768879301966595,-0.02982484158587335,-0.20501474492124605,1.0333969084403825,-0.8007020155449098
2001,-0.4361870084049364,-0.5506223899969868,-0.008278685684324475,-0.16750941914888842,-0.13693374535149402,-0.6891341493566767
2002,-0.05228401551769426,-0.37428999104315025,-0.0532047128832986,0.06614467459504271,-0.13748535406167658,-0.5686491098136109
2003,-0.12994115369737436,-0.32994720908261094,-0.05733057252402059,-0.22640547303406064,0.2095788798242995,-0.5080193500065187
2004,-0.015306816422454239,-0.47770602333395473,0.3025360739167391,0.1994130211620022,-0.1291078598023682,-0.3101822296017987
2005,-0.052963069985388606,-0.2880855566873805,0.2713629121868391,-0.10343224924057327,0.43079162005253396,-0.1731759857524635
2006,-0.37645477056411425,-0.2548140811941862,0.4606940268110857,-0.18489392263080226,-0.7122349067980203,-0.05892916510715795
2007,0.3977872963007341,-0.16306632287570594,0.6087665450281119,0.7601904640259626,0.4606052136762864,-0.04069731070962495
2008,-0.7210266820406388,-0.16028909412221326,0.49095033084304773,0.8118057636019153,0.7251010859961134,0.02937131400541296
2009,-1.2121124159138796,-0.2088063706181121,0.17921871354404575,0.8051370068058101,-0.10082203070498978,0.19652996986412088
2010,-0.9934742708219173,0.05674150228790676,-0.046328280148761794,0.025052640523390804,-1.0421175882085107,0.30835545219441934
2011,-0.9392400430307559,0.008365837915158138,0.1851782885806441,-0.18971117480190822,-1.6371891823155613,0.5117581176473877
2012,-0.6098261835016202,-0.10964559331414149,0.2654033371502402,-0.04465129775375345,-0.9520051960009069,0.6100356606899253
2013,-0.5925287572182977,-0.48192680082844624,0.3094125066512759,0.02666243704559032,-0.2886659734561836,0.7619065413537504
2014,-0.5510439862317174,-0.36165020694455197,0.3749678320538604,0.006434944033923798,-0.48491060425157473,0.8598265772704803
2015,-0.7147147823465777,-0.5480075570592298,0.5519213677559406,0.2393809189283436,-0.5427155667471601,0.92904708751877
2016,-0.36756635750728045,-0.7888885111017129,0.5762180967513043,0.4274942155416574,-0.32409851357561664,1.0128110017278136
2017,0.69017173613342,-0.9110503053319823,1.5118713774972796,0.8131221478379785,0.03720014946681661,0.9778557375356242
2018,-0.6464549827612748,-0.9349206322105118,1.4999522274240817,1.4098779815639273,-0.435757427732244,1.2617884551554286
2019,0.07664087506163908,-1.0426032146573565,1.588428995275123,1.2076601339039228,0.57998362449918,1.197465907115789
2020,-0.7610683783573571,-1.0480473411461404,1.5260826718153218,1.3544501094131773,1.0101930392972363,1.4120829028948354
2021,-0.9178237920594844,-0.9977879908283108,1.028687370683826,1.4960407252934025,1.3761203750631394,1.4478719840038297
2022,-1.1190103219406085,-0.8622533211586844,0.6605690049616224,1.3641552682683429,1.3756756594485315,1.6544550074134379
2023,-0.8040600157466966,-1.3784931895634551,0.9759680530523771,1.9234689535690928,1.307759215166839,1.7601916022955773
