,D
1990,
1991,0.05851542204618454
1992,0.04842624440789223
1993,0.04649330675601959
1994,0.04526858031749725
1995,0.043470513075590134
1996,0.04071081802248955
1997,0.044664740562438965
1998,0.04664502665400505
1999,0.039786964654922485
2000,0.042307816445827484
2001,0.03987879306077957
2002,0.04516301676630974
2003,0.0506247952580452
2004,0.04406873136758804
2005,0.03911445289850235
2006,0.045037880539894104
2007,0.04151830077171326
2008,0.03838268667459488
2009,0.04562162235379219
2010,0.04325393587350845
2011,0.04882000759243965
2012,0.04618541896343231
2013,0.038939863443374634
2014,0.041305091232061386
2015,0.03786994144320488
2016,0.03905177116394043
2017,0.031170863658189774
2018,0.03659885376691818
2019,0.03827663138508797
2020,0.04266638681292534
2021,0.041615478694438934
2022,0.040738705545663834
2023,0.028892772272229195
