year,C,R,S,H,D,M
1990,,0.3863206919494344,1213.0,0.0652064370212692,,1.0
1991,0.573948780997942,0.3937689368989593,1198.0,0.073441036193344,0.05851542204618454,1.9798101365321992
1992,0.5604749887328961,0.3859619830464937,1259.4,0.0702967940948602,0.04842624440789223,2.931594518058
1993,0.567251124138098,0.3917357447877417,1242.0,0.086378128063558,0.04649330675601959,3.8838695254051037
1994,0.5594890809975752,0.3928844493772351,1250.7,0.0871921558884502,0.04526858031749725,4.871722823741853
1995,0.5603271985178317,0.3899653151536897,1303.3,0.0897600869461402,0.043470513075590134,5.802986195569346
1996,0.5610902872375172,0.3939932219235714,1289.7,0.0950842268862768,0.04071081802248955,6.763976408060655
1997,0.5562615711198753,0.3957228984188374,1287.9,0.0996121988487686,0.044664740562438965,7.76033312441788
1998,0.5560348908631647,0.3999554019400156,1338.6,0.099217085901878,0.04664502665400505,8.678312837835222
1999,0.5536522493002984,0.3969182525951557,1416.5,0.0988913112073723,0.039786964654922485,9.682575618718861
2000,0.5534870751286952,0.3868254446789267,1408.7,0.1093818077735777,0.042307816445827484,10.424508527695789
2001,0.5411273386711817,0.3935109625405565,1455.1,0.1134693209894322,0.03987879306077957,11.086250056535832
2002,0.5556627305495333,0.406864064602961,1624.5,0.1199794474440766,0.04516301676630974,12.52950545133875
2003,0.5012847130752618,0.3947901849217639,1593.5,0.1165167747447249,0.0506247952580452,13.221291163638675
2004,0.5181829436691169,0.4010101010101009,1538.1,0.1357029618611901,0.04406873136758804,13.850542635112468
2005,0.5087416567061535,0.4025397359347406,1637.6,0.1328778850233942,0.03911445289850235,15.061339088001217
2006,0.5043352837907935,0.4013489208633093,1686.7,0.1348662304244902,0.045037880539894104,15.708334177946586
2007,0.4975709403409414,0.4006626746506986,1706.7,0.1409123220687739,0.04151830077171326,16.83113441921449
2008,0.4998593934744993,0.4077036691542288,1696.7,0.142958729173615,0.03838268667459488,17.919036411012335
2009,0.481380485041542,0.3963980325387817,1725.6,0.1496347209389822,0.04562162235379219,18.53311230940172
2010,0.4824255729650223,0.4004455666122085,1770.7,0.1475373467606706,0.04325393587350845,19.555902121698526
2011,0.4798981525033046,0.4061739257955712,1837.3,0.1449668089773594,0.04882000759243965,20.496088116388172
2012,0.4689556851288564,0.3972041141532667,1769.3,0.1519718106404995,0.04618541896343231,21.182968027629272
2013,0.4685705151501168,0.4031626287538081,1767.5,0.1566991030092746,0.038939863443374634,22.29044479986831
2014,0.4701101548419601,0.4058225108225108,1828.6,0.1589318779584554,0.041305091232061386,23.052886439332305
2015,0.4664858747866258,0.4052316351565882,1857.5,0.1544085892955444,0.03786994144320488,24.39939096004034
2016,0.4723628415443699,0.4089307720188474,1836.8,0.1559277519302258,0.03905177116394043,24.666925385884838
2017,0.4745497103204902,0.4078754315304948,1802.4,0.1576538111363849,0.031170863658189774,25.795496975508517
2018,0.4701791117221553,0.4048745926030891,1809.8,0.166583185739461,0.03659885376691818,26.439884064211462
2019,0.4718149183250258,0.410599466516917,1929.7,0.1608466474591076,0.03827663138508797,28.635618230148776
2020,0.4660882357867657,0.4136780650542118,1892.3,0.1669779845706562,0.04266638681292534,28.943895068721613
2021,0.4558340755608883,0.4149233983286907,1924.6,0.163108166469431,0.041615478694438934,30.591335862974354
2022,0.4585312863819655,0.41975106685633,1976.1,0.1562789423193872,0.040738705545663834,30.712385981959706
2023,0.4620306226335345,0.4202268299471194,1960.1,0.163021682242578,0.028892772272229195,31.93487228545182
