year,C,R,S,H,D,M
1990,,-1.6782295563433614,-1.59518705865851,-2.0248266881872206,,-1.6927273594229857
1991,1.6217689191226565,-0.8331018920047503,-1.6550373786699748,-1.7610615773046772,2.995796067844535,-1.5849506527426471
1992,1.2882851153444914,-1.7189310664808715,-1.4100500687563788,-1.8617758134706104,1.113583012408216,-1.4802567102267106
1993,1.455998210914836,-1.063801461064255,-1.4794764399696783,-1.3466694010325595,0.7529787477067279,-1.3755088000763718
1994,1.2638833541119034,-0.9334617591193661,-1.4447632543630284,-1.3205950123455792,0.5244966875658037,-1.2668473653673362
1995,1.284627225857155,-1.2646862428674726,-1.2348881321894924,-1.2383407816275502,0.18905352672531456,-1.1644106834783072
1996,1.3035140933295803,-0.8076530137413378,-1.2891524223332202,-1.067801532258054,-0.3257886382351328,-1.0587041221837676
1997,1.1840007012125262,-0.6113923555041513,-1.2963344607345957,-0.9227645970287252,0.4118457747650898,-0.9491073323935764
1998,1.1783902396021477,-0.13114421122333578,-1.0940403790958457,-0.9354205876932311,0.7812832520970413,-0.8481318202789078
1999,1.1194185443440947,-0.47575947958031267,-0.7832177171696384,-0.9458555823570178,-0.4981405317277977,-0.7376653828236343
2000,1.1153303923265632,-1.6209569373256996,-0.8143398835755998,-0.6098310920112504,-0.027856399386510865,-0.6560545864806746
2001,0.8094200853790446,-0.8623733872970901,-0.6292028936734695,-0.4789026334324857,-0.48100924208649776,-0.5832646448452338
2002,1.1691790661950108,0.6527588397109423,0.046706720322672646,-0.2703746662192367,0.5048030017822127,-0.42451009888695285
2003,-0.17670691397405278,-0.7172242641780364,-0.07698394103435448,-0.3812886560090196,1.5237394455244988,-0.3484153709184512
2004,0.2415336306852705,-0.01147100394809428,-0.2980311229433646,0.23327031236789425,0.3006557127078247,-0.27919925573390103
2005,0.007856561376563398,0.16209160038515572,0.09897599979935148,0.14277936195224816,-0.6236027302586424,-0.14601462201042992
2006,-0.10120360310967572,0.026973761646230592,0.2948860473035466,0.20646869694397646,0.48145788412132395,-0.0748467524071848
2007,-0.2686248412692295,-0.05089232127064505,0.3746864739854996,0.4001330149800783,-0.17514657134753606,0.04865851432952803
2008,-0.21198436168229295,0.7480259849498067,0.3347862606445231,0.4656821431938359,-0.7601193017320639,0.16832505940318115
2009,-0.6693475562951229,-0.5347871249068112,0.4500978771999446,0.6795229958505844,0.5903593726780292,0.23587189884946108
2010,-0.6434810527043726,-0.07552685070969062,0.6300478393677491,0.6123413248130183,0.14864939748084166,0.34837626422140383
2011,-0.7060361057095277,0.5744510769679947,0.8957832602186522,0.530003597223053,1.1870425383751697,0.4517944126937823
2012,-0.9768682197102878,-0.4433237161799755,0.6244618095000121,0.7543830723863852,0.6955399312250176,0.5273495146040963
2013,-0.9864013895176079,0.23276918374597244,0.6172797710986365,0.9058045040515279,-0.6561737249981623,0.6491692374121718
2014,-0.9482944563852221,0.5345771848754555,0.8610700746120025,0.9773232409979014,-0.2149224374749406,0.7330359436989841
2015,-1.037997390424492,0.46753248174877743,0.9763816911674249,0.8324363180530097,-0.8557758362123433,0.8811481313170091
2016,-0.8925392157326711,0.8872612792918001,0.8937882495516034,0.8810971080212955,-0.6352964860194746,0.9105762605698726
2017,-0.8384130051248211,0.7675152924119928,0.7565315156586448,0.9363850690244641,-2.105539902064697,1.0347163614399533
2018,-0.9465877354968626,0.4270200467586468,0.7860576735309669,1.222404756573955,-1.0929069389328203,1.1055973573169053
2019,-0.9061006181775698,1.0766025124554828,1.2644612314892754,1.038655842512589,-0.779904725050448,1.3471227185341161
2020,-1.0478391753945548,1.425920883278691,1.115234433594023,1.2350506856969714,0.03903763801081357,1.3810324130437064
2021,-1.3016353071300575,1.5672247217957955,1.2441121226853769,1.1110952897832973,-0.15701728852469826,1.562246851061073
2022,-1.2348778489096346,2.115004266455521,1.4495982213914058,0.8923462010253815,-0.32058600804224147,1.5755620666126071
2023,-1.1482673430537995,2.1689875272669163,1.3857578800458434,1.1083250855257747,-2.530535228924437,1.7100325551692148
