,C_t,C_t,C_t,R_t,R_t,R_t,S_t,S_t,S_t,H_t,H_t,H_t
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
year,,,,,,,,,,,,
1990,,,0,0.3564913722267872,0.005488383656864921,10,226.3,14.244297104455523,10,0.07009909529065247,0.0020608999073001752,10
1991,0.6926750015881985,0.008401349478412314,10,0.4352163461538462,0.011105780793274777,10,159.4,6.834552736727629,10,0.05341642770654287,0.004440597013988096,10
1992,0.7570236678847028,0.011055324089152668,10,0.3652591973244147,0.004313432339131078,10,241.8,12.95976680174283,10,0.05903761355632701,0.001721654213928618,10
1993,0.6627793164142703,0.007174857814978577,10,0.3690603200656545,0.010820687994865377,10,224.2,19.998888858022973,10,0.06556866620334409,0.0031138308104917485,10
1994,0.6596452608824525,0.01036089016555633,10,0.35862982588947767,0.01448697678845387,10,229.6,9.547541859324603,10,0.0728891678013892,0.0026039534512901506,10
1995,0.6504230567482059,0.020682265980960617,10,0.3416854778028593,0.022770921585229087,10,243.5,10.564615994493652,10,0.07908078449927344,0.008362123244958941,10
1996,0.6700293982697794,0.009278982475671726,10,0.34571428571428575,0.002623809990637063,10,219.4,9.311880106139204,10,0.0840038819227106,0.0014376898622137555,10
1997,0.7135240710025267,0.005891765612541377,10,0.36488330341113107,0.003529501016505867,10,268.8,9.953223933312579,10,0.08627580885652385,0.0010755763348307388,10
1998,0.7547052168448747,0.005732540912270897,10,0.3443660368768495,0.0033365747640331433,10,505.4,14.916061440235785,10,0.06738217603375667,0.0014698650943756495,10
1999,0.6206919816151406,0.006338223416545099,10,0.33592274678111583,0.0061816813386627026,10,552.5,26.875226097240148,10,0.06351329901297287,0.0022053536288688044,10
2000,0.6108467952546428,0.008825120383048606,10,0.34864864864864864,0.0061110213148183445,10,577.1,32.905420019605714,10,0.05875642683717706,0.0019530358057484015,10
2001,0.592959204616615,0.008397681758215984,10,0.3441954758856167,0.003747141812328716,10,546.1,17.971891633572934,10,0.062070839735881636,0.0013706710308744098,10
2002,0.6149776163442126,0.005755808317241401,10,0.36773655689870777,0.004143084608972205,10,582.2,24.28900071134164,10,0.06952583533010866,0.001874541624606288,10
2003,0.5923537303980732,0.0073456839655507734,10,0.34150634465820706,0.004641311587421085,10,540.6,20.21660483639899,10,0.07113812341919956,0.0021536865022776116,10
2004,0.6099503342543848,0.006087154975946956,10,0.3459834328645733,0.005208044075256313,10,598.7,21.239637996496604,10,0.07132761436398091,0.0023657424537601797,10
2005,0.5995671981723012,0.01002373107784087,10,0.3533395872420263,0.00477927123047365,10,627.5,14.93876389353104,10,0.06934846553802002,0.001713070726356851,10
2006,0.5914783145952662,0.005553847973064861,10,0.3553385416666667,0.005223848124481338,10,660.6,22.10681141890687,10,0.07803851797629432,0.0019821625089248263,10
2007,0.6248370845381446,0.006341467952737895,10,0.3432723709993468,0.004010028693071687,10,677.5,12.456591294036526,10,0.09057780385988011,0.0019209075686138796,10
2008,0.5910054497065691,0.004589977865989605,10,0.35057921102066375,0.0031118972177826467,10,651.3,18.34878137037383,10,0.09238322208866934,0.0016200451572731395,10
2009,0.5628834602022017,0.007698365129298355,10,0.34534353630739173,0.003564130747864478,10,641.3,24.10647676916357,10,0.09622405460396287,0.0019015890808127375,10
2010,0.5841603079221577,0.0064209624320772755,10,0.3448740377886634,0.005178663175790689,10,616.9,19.89667755625993,10,0.08813184344691169,0.002238573021921697,10
2011,0.5773374695809663,0.007526174645286783,10,0.3391181158137064,0.0029229486814568084,10,641.9,16.134504089751935,10,0.08879194854697413,0.0013538657759305153,10
2012,0.596460889054114,0.006019191475295218,10,0.3384998283556471,0.005934058598446249,10,618.0,26.48689403375856,10,0.08919710201375425,0.002925119773331834,10
2013,0.5875799692620267,0.008361176105272889,10,0.32521566025215665,0.006238675677687855,10,613.3,31.262508607666874,10,0.0943725324592845,0.0036280042699285637,10
2014,0.597002788913915,0.010588771705120941,10,0.3328656322218554,0.0065666306638877785,10,656.3,24.046482764290786,10,0.09075570705324734,0.003258622166088699,10
2015,0.5903116662932557,0.006304515533519954,10,0.3379384513567174,0.003228342902913573,10,656.2,22.109826875044604,10,0.08927302842406756,0.0016297731456685173,10
2016,0.6029671443333788,0.008084279946502217,10,0.32024825446082233,0.004210629932670821,10,702.8,19.234228748654203,10,0.0864194622133972,0.0022579820757767342,10
2017,0.64507142355631,0.005514786406015338,10,0.31688177594217865,0.005836656339959933,10,817.1,50.78155833239725,10,0.07768421212391066,0.0030157079453823495,10
2018,0.5982667573428639,0.0096927199583855,10,0.3104865884890147,0.005226637644143497,10,797.6,34.976817719423494,10,0.0854323309699888,0.0029883843776205813,10
2019,0.612358179977511,0.007319018111191306,10,0.3160544727636182,0.006159376644630924,10,869.8,58.50128203723401,10,0.07734006571739475,0.002955277773409045,10
2020,0.5788582613959034,0.006749654475223217,10,0.2959202657807309,0.003990548171800935,10,789.2,25.516008047237058,10,0.07837216731386057,0.001981145155051688,10
2021,0.5880468935774098,0.005773854139306305,10,0.3038048780487805,0.004074414279722049,10,732.4,34.11158161094265,10,0.08072988519515924,0.002087285873407634,10
2022,0.5574381032411166,0.006256084047308917,10,0.30307649279821003,0.003019498943859093,10,729.7,28.58534978310081,10,0.08380623814744795,0.001759066659497063,10
2023,0.5894537125507527,0.008485544803452604,10,0.2943422554864899,0.00471286206651869,10,751.9,44.32067488455272,10,0.08413953027525992,0.0024046938854894754,10
