min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t,density
0.0,0.005,1990,0,2206,20914,1008,0.45693563009972804,215,0.05776210947341899,0.3352292697453103,,0.0085990999603226
0.0,0.005,1991,0,1476,7854,840,0.5691056910569106,202,0.044115646258503394,0.36283037175250904,0.6309523809523809,0.007215102659501172
0.0,0.005,1992,0,2173,17269,976,0.4491486424298205,219,0.050097839962375684,0.33494637693992096,0.6905737704918034,0.007317751171882614
0.0,0.005,1993,0,2210,16658,1054,0.47692307692307695,247,0.05803139031213883,0.32195629197191716,0.6280834914611007,0.0068244061213997035
0.0,0.005,1994,0,2412,20837,1058,0.4386401326699834,216,0.0631019042956536,0.33303556353505426,0.611531190926276,0.007166228858472741
0.0,0.005,1995,0,2422,17977,1215,0.5016515276630884,253,0.05629697369980862,0.34638898524549755,0.660082304526749,0.006131663114279097
0.0,0.005,1996,0,2410,14198,1376,0.570954356846473,303,0.05081188311249324,0.32107225940316525,0.6402616279069768,0.004891063766752962
0.0,0.005,1997,0,2524,19567,1403,0.555863708399366,303,0.06150195411624311,0.3088634346503661,0.6129722024233785,0.006145364390868668
0.0,0.005,1998,0,4103,45230,1983,0.48330489885449673,388,0.14222733883496358,0.33033953816668526,0.6611195158850227,0.005374764133651121
0.0,0.005,1999,0,4342,49555,2121,0.4884845693228927,417,0.12021074809036777,0.3179924344093208,0.5487977369165489,0.005258209326920557
0.0,0.005,2000,0,4466,53689,2216,0.4961934617107031,514,0.1226272009279412,0.32959264003639616,0.5500902527075813,0.005384868828510949
0.0,0.005,2001,0,4403,50274,2115,0.48035430388371564,416,0.1314239726371913,0.3269496431678809,0.5182033096926715,0.005187698321835211
0.0,0.005,2002,0,4487,50793,2134,0.475596166703811,363,0.14319725530944963,0.31860584553052845,0.534676663542643,0.005046828202661257
0.0,0.005,2003,0,4595,49811,2305,0.5016322089227421,393,0.13515633749135372,0.3094019319415813,0.5449023861171367,0.0047193126484230035
0.0,0.005,2004,0,4877,59366,2382,0.4884150092269838,429,0.1424072652365453,0.3274238948891635,0.5361041141897565,0.004992882329421909
0.0,0.005,2005,0,5013,61151,2347,0.46818272491522045,362,0.1488849139560987,0.3213417813934379,0.5121431614827439,0.004867711070132261
0.0,0.005,2006,0,5064,62032,2450,0.48380726698262244,429,0.13821907538525616,0.31447840656661724,0.5338775510204081,0.004838872231993782
0.0,0.005,2007,0,5832,106361,2770,0.47496570644718794,571,0.16636812678387572,0.3190146233282986,0.5628158844765343,0.006255353405324505
0.0,0.005,2008,0,6135,136518,2875,0.46862265688671556,538,0.1504669035916824,0.32521908647534764,0.5231304347826087,0.00725540356647744
0.0,0.005,2009,0,5871,108983,2549,0.4341679441321751,301,0.17986591869579854,0.319325108683294,0.4876422126324048,0.006324680227387409
0.0,0.005,2010,0,5421,76212,2578,0.4755580151263604,351,0.14130636928452903,0.307007805707739,0.503878975950349,0.005187697698781083
0.0,0.005,2011,0,5336,69331,2582,0.4838830584707646,312,0.12254654609970353,0.2943266315926848,0.49341595662277304,0.004870877588384814
0.0,0.005,2012,0,5525,72818,2556,0.46262443438914025,393,0.14935675608161225,0.3143065621971008,0.5144757433489828,0.004771806121211922
0.0,0.005,2013,0,5727,75089,2499,0.43635411210057623,311,0.131357384890731,0.3045231036932864,0.5110044017607043,0.004579602560342358
0.0,0.005,2014,0,5742,74929,2602,0.45315221177290144,305,0.16629524619210312,0.31598159711844476,0.5138355111452728,0.004545997548538257
0.0,0.005,2015,0,5722,74564,2612,0.4564837469416288,309,0.13648046828279892,0.30531768549791105,0.5176110260336906,0.0045555350477868685
0.0,0.005,2016,0,6126,90864,2533,0.4134835128958537,349,0.17483563585230813,0.31643793104777673,0.5191472562179233,0.004843270902876332
0.0,0.005,2017,0,7404,131908,2971,0.401269584008644,379,0.16135772696030212,0.33195192994074174,0.580276001346348,0.004813123127547763
0.0,0.005,2018,0,7046,128142,2798,0.397104740278172,335,0.17195116904191246,0.33040044651625455,0.5107219442458899,0.005162949265568433
0.0,0.005,2019,0,7658,167608,3116,0.4068947505876208,462,0.15572303947821595,0.3325433025583979,0.5317715019255456,0.0057167701394740065
0.0,0.005,2020,0,7141,143743,2814,0.394062456238622,393,0.20304811610543072,0.3509703242158377,0.5046197583511016,0.005638446388217799
0.0,0.005,2021,0,6845,160190,2644,0.3862673484295106,333,0.17834345339317634,0.3269185211998057,0.5049167927382754,0.006838832134613012
0.0,0.005,2022,0,6845,167447,2722,0.3976625273922571,349,0.17703653956306709,0.3249903534256849,0.4893460690668626,0.007148648008268588
0.0,0.005,2023,0,7567,227172,2684,0.35469803092374785,264,0.18801208686014834,0.32702876103497563,0.492548435171386,0.0079358733144365
0.0,0.01,1990,0,2324,27842,1023,0.4401893287435456,208,0.06267480404269735,0.32980724533074135,,0.010314426638353425
0.0,0.01,1991,0,1573,9913,849,0.5397329942784488,206,0.04529266746300295,0.350585332254745,0.6277974087161367,0.008017774499384492
0.0,0.01,1992,0,2293,23508,995,0.43392935019624945,221,0.06445594808211914,0.33087634710120206,0.6924623115577889,0.008945961188502225
0.0,0.01,1993,0,2330,22550,1040,0.44635193133047213,239,0.07283284023668643,0.3491925606537749,0.6317307692307692,0.0083109588561467
0.0,0.01,1994,0,2536,28197,1092,0.4305993690851735,214,0.09354244656442459,0.35536010680910435,0.61996336996337,0.008772142683814608
0.0,0.01,1995,0,2548,24639,1186,0.4654631083202512,236,0.058727594845996996,0.3294647173883085,0.627318718381113,0.00759319764872516
0.0,0.01,1996,0,2547,19542,1608,0.6313309776207303,272,0.028060103710304204,0.2525094744378708,0.6492537313432836,0.00602714528529012
0.0,0.01,1997,0,2669,26472,1364,0.511052828774822,299,0.08415390304520948,0.3144839462777593,0.5740469208211143,0.007435023589741285
0.0,0.01,1998,0,4258,73080,1848,0.43400657585721,365,0.11064436105020517,0.3167834409486361,0.6747835497835497,0.008063418988954506
0.0,0.01,1999,0,4527,80810,1933,0.4269935939916059,446,0.11505266039857202,0.3254760275177057,0.5561303673047078,0.007888057328928671
0.0,0.01,2000,0,4632,85331,2141,0.46221934369602763,463,0.10403345985639675,0.3318936236981702,0.5632881830920131,0.007955976637133025
0.0,0.01,2001,0,4556,80898,2086,0.4578577699736611,447,0.12091981515816992,0.3619985676326769,0.5273250239693192,0.007796428203143899
0.0,0.01,2002,0,4656,81105,2020,0.4338487972508591,368,0.11966277815900402,0.3189666392496352,0.5425742574257426,0.007484192808973834
0.0,0.01,2003,0,4755,79547,2122,0.446267087276551,424,0.11482552071072673,0.3428922812669009,0.5447690857681433,0.007037916379676067
0.0,0.01,2004,0,5050,94280,2182,0.4320792079207921,414,0.12730061220837768,0.3597802889687152,0.5412465627864345,0.007395249328854454
0.0,0.01,2005,0,5183,97481,2274,0.4387420412888289,443,0.12962640657379626,0.35764434137233814,0.5554089709762533,0.007258909031716296
0.0,0.01,2006,0,5232,96776,2264,0.4327217125382263,344,0.15098983630710838,0.3516690770908045,0.5295936395759717,0.007072048134591651
0.0,0.01,2007,0,5991,154272,2638,0.44032715740277084,500,0.14854281708809433,0.3447513797166786,0.5845337376800607,0.008597871765912642
0.0,0.01,2008,0,6271,192383,2732,0.43565619518418114,478,0.13500720274218683,0.34766792123959916,0.5424597364568082,0.009785710125620658
0.0,0.01,2009,0,6017,156933,2466,0.4098387900947316,392,0.1636271130028567,0.3453546213350774,0.4833738848337389,0.008670745388067143
0.0,0.01,2010,0,5567,113508,2392,0.42967486976827735,336,0.11613719365555196,0.3105797005909455,0.5196488294314381,0.007326423915996432
0.0,0.01,2011,0,5493,103312,2280,0.4150737302020754,282,0.16930594028931978,0.34133178105837286,0.5026315789473684,0.006849212445317081
0.0,0.01,2012,0,5682,107142,2387,0.4200985568461809,335,0.1463511419996143,0.3392939543936268,0.5362379555927943,0.006638404715917951
0.0,0.01,2013,0,5884,109088,2384,0.4051665533650578,293,0.16055125613711094,0.33062863786158797,0.5167785234899329,0.006302828102912758
0.0,0.01,2014,0,5908,109095,2337,0.3955653351387948,278,0.18103057930788752,0.3425230087787809,0.5139067180145486,0.006252121147935176
0.0,0.01,2015,0,5880,108279,2384,0.4054421768707483,286,0.16541203098959503,0.34373521426949954,0.5251677852348993,0.006264601435062884
0.0,0.01,2016,0,6287,131845,2357,0.37490058851598534,302,0.18802602633918522,0.3503426680914535,0.5150615188799321,0.00667230396940978
0.0,0.01,2017,0,7572,184125,2892,0.38193343898573695,433,0.15689367722089267,0.3626478181023944,0.5954356846473029,0.006423606132416609
0.0,0.01,2018,0,7223,177928,2859,0.39581891180949746,528,0.15969170581269782,0.3639233477241223,0.5452955578873733,0.006821803315840851
0.0,0.01,2019,0,7827,230388,2968,0.3792002044205954,433,0.16668498121925873,0.36831434380942446,0.542789757412399,0.007522369685543671
0.0,0.01,2020,0,7324,199889,2841,0.3879027853631895,484,0.1618150823890285,0.36983997698094395,0.525871172122492,0.007453864972685432
0.0,0.01,2021,0,7005,220927,2808,0.4008565310492505,554,0.14360780350808838,0.3659203133982726,0.5352564102564102,0.009005845950779223
0.0,0.01,2022,0,6986,229553,2582,0.36959633552819926,356,0.18018475041114643,0.3635920389858942,0.48024786986831913,0.009408447737073493
0.0,0.01,2023,0,7711,298889,2761,0.35805991440798857,380,0.17527033874970627,0.36985732528071635,0.5251720391162622,0.010054832645128887
0.0,0.05,1990,0,2414,39169,971,0.40223695111847557,219,0.06366396879219297,0.3308267383771739,,0.013448625248970726
0.0,0.05,1991,0,1648,13232,851,0.5163834951456311,184,0.05424046638985584,0.35756587254487754,0.6556991774383079,0.009750001473700344
0.0,0.05,1992,0,2380,35032,955,0.4012605042016807,221,0.056780241769688336,0.34548178542793084,0.7078534031413612,0.012374382287593473
0.0,0.05,1993,0,2424,33579,948,0.3910891089108911,209,0.07522165251295196,0.36130287395200816,0.6350210970464135,0.011434356394781037
0.0,0.05,1994,0,2626,41708,1020,0.38842345773038844,217,0.06969050365244137,0.3286245812032659,0.634313725490196,0.0121011134080441
0.0,0.05,1995,0,2644,36597,1034,0.39107413010590014,221,0.06950716265914422,0.33095293467551734,0.609284332688588,0.010474103660913451
0.0,0.05,1996,0,2645,30716,1097,0.4147448015122873,192,0.08915422769814749,0.3453975155329576,0.6381039197812215,0.00878430744504088
0.0,0.05,1997,0,2770,40082,1127,0.4068592057761733,239,0.09266539068078915,0.3328645769425781,0.6610470275066549,0.01045145258294188
0.0,0.05,1998,0,4370,114698,1732,0.39633867276887874,491,0.08720244921035368,0.3909231785268675,0.7424942263279446,0.012014960824992812
0.0,0.05,1999,0,4636,126606,1804,0.38912855910267474,505,0.08069466226813046,0.3908267648337142,0.6019955654101996,0.011783956150123837
0.0,0.05,2000,0,4749,135850,1875,0.39481996209728365,569,0.07454975999999996,0.39930312638967796,0.5968,0.01204971454106509
0.0,0.05,2001,0,4672,130048,1865,0.3991866438356164,521,0.08268901523046959,0.39618592062919,0.56514745308311,0.011918482739608719
0.0,0.05,2002,0,4771,128256,1912,0.40075455879270594,503,0.09061192468619243,0.3884196668222539,0.5679916317991631,0.011271452657499648
0.0,0.05,2003,0,4870,124405,1920,0.3942505133470226,480,0.09227213541666668,0.38191281302866026,0.5697916666666667,0.010492986049697136
0.0,0.05,2004,0,5170,146467,2089,0.40406189555125727,532,0.08220886675079592,0.3901702688009618,0.5911919578745811,0.01096156861336348
0.0,0.05,2005,0,5307,150312,2047,0.38571697757678536,476,0.09431152479506393,0.38861714686621474,0.5696140693698095,0.010675969288902971
0.0,0.05,2006,0,5356,149057,2169,0.4049663928304705,597,0.09466154227780231,0.3849126548493092,0.5841401567542646,0.01039399080518441
0.0,0.05,2007,0,6108,226748,2291,0.3750818598559267,514,0.1102103557065099,0.3803127229918849,0.5866433871671759,0.012157562542431206
0.0,0.05,2008,0,6374,275448,2461,0.38609978035770315,590,0.10194251782500222,0.38263719286280223,0.5554652580251931,0.013561684646717396
0.0,0.05,2009,0,6123,231445,2412,0.3939245467907888,581,0.10638075515182514,0.3799230644176335,0.5485074626865671,0.012348670825876353
0.0,0.05,2010,0,5693,177382,2222,0.39030388196030213,499,0.10011820263934586,0.3811446749552218,0.5621062106210621,0.01094796669949744
0.0,0.05,2011,0,5624,164620,2108,0.3748221906116643,431,0.10636987855067348,0.38002639226467155,0.555977229601518,0.010411161838101942
0.0,0.05,2012,0,5800,171016,2024,0.3489655172413793,330,0.11846478620194036,0.3798270046518586,0.5573122529644269,0.010169173044103919
0.0,0.05,2013,0,6014,174086,2187,0.36365147988027935,435,0.108789122404933,0.38184340193059,0.5797896662094193,0.00962806945664949
0.0,0.05,2014,0,6039,173373,2201,0.36446431528398743,456,0.11508192653746045,0.3840063223789491,0.5647432985006815,0.009509404505033282
0.0,0.05,2015,0,6013,175127,2185,0.36337934475303507,441,0.11106158591184959,0.38314152035523913,0.5583524027459954,0.009688865519695129
0.0,0.05,2016,0,6427,207317,2376,0.3696903687568072,611,0.10014071693364622,0.3895063844681756,0.5803872053872055,0.010039587987400067
0.0,0.05,2017,0,7720,279713,2850,0.36917098445595853,787,0.09274903047091416,0.39911283801960834,0.6350877192982456,0.009387810308591881
0.0,0.05,2018,0,7377,267859,2544,0.34485563237088246,543,0.11462937828804239,0.3945162562723994,0.5432389937106918,0.009845449463758054
0.0,0.05,2019,0,7971,336730,2904,0.36432066240120436,779,0.09360391101093585,0.4005779157186136,0.587465564738292,0.010600849660949423
0.0,0.05,2020,0,7488,305935,2627,0.35082799145299143,741,0.08743917118488875,0.4058083918648518,0.5580510087552342,0.01091403874978738
0.0,0.05,2021,0,7153,331505,2410,0.3369215713686565,623,0.09777861951412685,0.4029263925882925,0.5423236514522822,0.012959980496598633
0.0,0.05,2022,0,7128,339378,2497,0.35030864197530864,679,0.09559489007954922,0.397555796640572,0.5466559871846215,0.013361008239638799
0.0,0.05,2023,0,7859,419811,2583,0.32866776943631504,633,0.10729030414025174,0.40058851131432544,0.5691056910569106,0.013595791516493727
0.0,0.1,1990,0,2425,41142,950,0.3917525773195876,206,0.07699501385041548,0.36604881959952956,,0.013998162702868225
0.0,0.1,1991,0,1658,13875,815,0.49155609167671893,187,0.05302871767849751,0.3509626906071889,0.6809815950920246,0.01010080420601127
0.0,0.1,1992,0,2388,36977,935,0.39154103852596317,208,0.054920643998970516,0.347303709662508,0.7016042780748664,0.012974030886172237
0.0,0.1,1993,0,2429,35644,926,0.3812268423219432,206,0.07269008112180399,0.3645504683578454,0.6403887688984882,0.012087604271016811
0.0,0.1,1994,0,2634,44116,1041,0.3952164009111617,162,0.09492738176640542,0.3676233283308846,0.6551392891450528,0.012722120184181788
0.0,0.1,1995,0,2651,38694,978,0.3689173896642776,226,0.08402440605383885,0.3689417259164253,0.6267893660531698,0.011015850195369494
0.0,0.1,1996,0,2652,32627,1111,0.4189291101055807,239,0.08335027922234167,0.34936551791907444,0.6714671467146714,0.009281622291141451
0.0,0.1,1997,0,2776,42312,1115,0.401657060518732,229,0.09216754811076039,0.3383906437006162,0.6834080717488789,0.010985279227354155
0.0,0.1,1998,0,4383,120613,1679,0.3830709559662332,530,0.07501522680940081,0.3977484606444691,0.7361524717093508,0.012559729080646741
0.0,0.1,1999,0,4645,132795,1678,0.361248654467169,524,0.07692056352914606,0.4038047841502579,0.5804529201430274,0.01231214692801295
0.0,0.1,2000,0,4764,142384,1858,0.3900083963056255,588,0.06503341092717495,0.40589764525114574,0.6065662002152852,0.012549859124340949
0.0,0.1,2001,0,4680,136424,1750,0.37393162393162394,465,0.07533975510204081,0.4017903968442914,0.5714285714285714,0.012460110002319877
0.0,0.1,2002,0,4784,134446,1914,0.40008361204013376,520,0.08084465889027558,0.39399551634647517,0.6018808777429467,0.011751311256351753
0.0,0.1,2003,0,4879,130388,1818,0.37261733961877436,467,0.08640704554503856,0.38877586215747983,0.5753575357535754,0.010957084360759574
0.0,0.1,2004,0,5180,153102,1975,0.3812741312741313,570,0.08151078352828076,0.3954766325989232,0.5843037974683545,0.01141392958346038
0.0,0.1,2005,0,5317,157136,2005,0.37709234530750424,488,0.08434251030777176,0.3947191298790805,0.5760598503740648,0.011118701135093039
0.0,0.1,2006,0,5367,155821,2033,0.37879634805291595,536,0.09480681398343954,0.3912697518095667,0.5823905558288244,0.0108211575258612
0.0,0.1,2007,0,6115,234818,2233,0.3651676206050695,532,0.10424526135568958,0.38485322752017087,0.606359158083296,0.012561441630551277
0.0,0.1,2008,0,6383,284112,2403,0.376468745104183,589,0.09974509945519969,0.3859617375392169,0.5776113191843528,0.013948834732339255
0.0,0.1,2009,0,6134,239427,2270,0.3700684708183893,532,0.10859127869743249,0.3833057004932124,0.5436123348017621,0.01272876836046699
0.0,0.1,2010,0,5706,184534,2114,0.37048720644935157,570,0.0981647779501257,0.38705850516746576,0.5714285714285714,0.01133754373289122
0.0,0.1,2011,0,5637,171737,1934,0.3430902962568742,408,0.10743415867366636,0.3653539126245505,0.5361944157187177,0.010811223573134666
0.0,0.1,2012,0,5810,178437,2072,0.3566265060240964,453,0.0986745501706892,0.3851418445602688,0.5863899613899615,0.01057395358676918
0.0,0.1,2013,0,6024,181677,2078,0.3449535192563081,406,0.11442667627586683,0.38607846410924346,0.5750721847930702,0.010014565678841996
0.0,0.1,2014,0,6050,181050,2065,0.3413223140495868,466,0.10978384114346687,0.3881024484266216,0.5796610169491525,0.009894402325908661
0.0,0.1,2015,0,6033,182945,2146,0.3557102602353721,473,0.10087776821395103,0.38993296818713236,0.5876048462255359,0.010054393585061121
0.0,0.1,2016,0,6438,215794,2162,0.33581857719788755,483,0.10551011029805032,0.3934778420403884,0.5818686401480111,0.010414414993545345
0.0,0.1,2017,0,7733,289756,2715,0.35109271951377213,721,0.09003374608698012,0.40283343761577367,0.6397790055248619,0.009692204698603261
0.0,0.1,2018,0,7392,277667,2452,0.33170995670995673,664,0.10678501951997106,0.39858576759065784,0.5611745513866231,0.010164572157198324
0.0,0.1,2019,0,7984,347968,2670,0.3344188376753507,689,0.09796602561404986,0.4047869724898113,0.5966292134831461,0.010918994446364858
