min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t
0.0,1.0,1990,0,2434,43851,864,0.35497124075595726,225,0.07084833676268859,0.3753891670689103,
0.0,1.0,1991,0,1664,15338,715,0.4296875,151,0.054205095603697004,0.35923496598307636,0.695104895104895
0.0,1.0,1992,0,2392,39561,855,0.35744147157190637,236,0.06235217673814167,0.3827824642013569,0.7543859649122807
0.0,1.0,1993,0,2437,38124,904,0.37094788674599916,239,0.06556650873208554,0.37367189367041714,0.6559734513274336
0.0,1.0,1994,0,2642,46871,941,0.3561695685087055,228,0.0706700651962041,0.3807851023304077,0.6567481402763018
0.0,1.0,1995,0,2658,41287,877,0.3299473288186606,233,0.07845888010983856,0.3769635560922188,0.637400228050171
0.0,1.0,1996,0,2660,35193,929,0.34924812030075186,219,0.08482679270162138,0.36082702530244787,0.6716899892357373
0.0,1.0,1997,0,2785,44960,1024,0.36768402154398566,263,0.08554840087890625,0.3474908167585949,0.70703125
0.0,1.0,1998,0,4393,126324,1513,0.34441156385158206,493,0.06739170415115707,0.40830528400575167,0.7501652346331791
0.0,1.0,1999,0,4660,138929,1574,0.3377682403433476,571,0.06324985590173224,0.4141154920064574,0.621982210927573
0.0,1.0,2000,0,4773,148599,1682,0.3523989105384454,607,0.05765813021981362,0.41572665165439665,0.6111771700356718
0.0,1.0,2001,0,4686,142828,1598,0.34101579172001706,543,0.0627661924088465,0.413075964450511,0.5926157697121401
0.0,1.0,2002,0,4798,140577,1777,0.3703626511046269,550,0.06790608060413035,0.4057276167096404,0.6195835678109173
0.0,1.0,2003,0,4886,136538,1647,0.33708555055259926,518,0.07193333060533241,0.40013661782270443,0.6004857316332726
0.0,1.0,2004,0,5191,159913,1821,0.3507994606048931,571,0.06903503304090636,0.4070416057012821,0.6183415705656232
0.0,1.0,2005,0,5330,163850,1897,0.35590994371482176,632,0.06823664365870256,0.4068588391457856,0.6051660516605166
0.0,1.0,2006,0,5376,162408,1928,0.3586309523809524,671,0.07625557411201594,0.40282529808892387,0.5876556016597511
0.0,1.0,2007,0,6124,242939,2109,0.34438275636838667,682,0.09143792291205628,0.3960552595836682,0.6149834044570887
0.0,1.0,2008,0,6388,292971,2243,0.35112711333750785,634,0.0922433870153123,0.39351699108670685,0.5938475256353098
0.0,1.0,2009,0,6142,247685,2100,0.34190817323347444,598,0.09874603174603175,0.39159127926514126,0.569047619047619
0.0,1.0,2010,0,5716,191704,1964,0.3435969209237229,612,0.08908157424268191,0.3960990915519565,0.5885947046843177
0.0,1.0,2011,0,5647,178568,1900,0.3364618381441473,621,0.09012188365650968,0.3944602399725669,0.5789473684210527
0.0,1.0,2012,0,5826,185481,1969,0.33796773086165466,625,0.08919434577753041,0.3954159885775953,0.6023362112747588
0.0,1.0,2013,0,6028,188732,2015,0.3342733908427339,682,0.08927017591389642,0.396192226841347,0.5920595533498759
0.0,1.0,2014,0,6058,188323,2005,0.3309673159458567,673,0.09072306764261417,0.3972491807256966,0.6029925187032419
0.0,1.0,2015,0,6044,190686,2025,0.33504301786896096,633,0.09049864349946653,0.3988054567482856,0.5876543209876544
0.0,1.0,2016,0,6445,224801,2044,0.31714507370054307,673,0.08799368874966008,0.40315354819832666,0.6105675146771037
0.0,1.0,2017,0,7748,301745,2433,0.31401652039235933,781,0.07949250349143311,0.4130074273537807,0.637895602137279
0.0,1.0,2018,0,7419,290091,2296,0.30947567057554926,774,0.08592317801600115,0.4103618657729795,0.6075783972125435
0.0,1.0,2019,0,8004,361916,2484,0.3103448275862069,885,0.07973056547410672,0.4165964321665128,0.6022544283413849
0.0,1.0,2020,0,7525,328984,2214,0.29421926910299,768,0.07878092029941675,0.41883961925958985,0.5808491418247516
0.0,1.0,2021,0,7175,354750,2190,0.30522648083623694,750,0.07962719709764184,0.41659387634374123,0.591324200913242
0.0,1.0,2022,0,7151,362604,2168,0.30317438120542584,729,0.08404365408967739,0.41178541065497526,0.5618081180811808
0.0,1.0,2023,0,7883,445010,2323,0.29468476468349614,801,0.0833112658624039,0.4149136636383239,0.5983641842445114
0.0,1.0,1990,1,2434,43851,889,0.36524239934264585,227,0.06834564689537542,0.37555467248513197,
0.0,1.0,1991,1,1664,15338,703,0.42247596153846156,171,0.05669868415994043,0.36120293185704533,0.6856330014224752
0.0,1.0,1992,1,2392,39561,875,0.3658026755852843,222,0.06054791836734694,0.38277841869817403,0.7657142857142857
0.0,1.0,1993,1,2437,38124,892,0.3660237997537957,230,0.06535421987170464,0.37353087299958554,0.6659192825112108
0.0,1.0,1994,1,2642,46871,932,0.35276305828917487,218,0.07361067619591445,0.3809829291925177,0.6587982832618026
0.0,1.0,1995,1,2658,41287,887,0.33370955605718583,261,0.07616339738856004,0.37697294647739615,0.6414881623449831
0.0,1.0,1996,1,2660,35193,930,0.34962406015037595,226,0.08163024627124521,0.3614732503711857,0.6817204301075268
0.0,1.0,1997,1,2785,44960,1006,0.36122082585278276,268,0.08807394203368255,0.3473521950977832,0.7017892644135189
0.0,1.0,1998,1,4393,126324,1514,0.34463919872524473,485,0.06791129554366206,0.40825507669939565,0.7575957727873184
0.0,1.0,1999,1,4660,138929,1586,0.340343347639485,547,0.0620888321361726,0.41412770393263465,0.6279949558638083
0.0,1.0,2000,1,4773,148599,1662,0.34820867379006915,570,0.05935898494122894,0.4156387474833145,0.618531889290012
0.0,1.0,2001,1,4686,142828,1645,0.3510456679470764,573,0.05995399155587994,0.413095606421128,0.5854103343465046
0.0,1.0,2002,1,4798,140577,1785,0.3720300125052105,595,0.06783858641495814,0.40575953466741776,0.6151260504201681
0.0,1.0,2003,1,4886,136538,1690,0.34588620548505933,532,0.06965722488708377,0.40076161024394613,0.5899408284023668
0.0,1.0,2004,1,5191,159913,1762,0.3394336351377384,595,0.07338490338988943,0.40702025221798377,0.6032917139614076
0.0,1.0,2005,1,5330,163850,1897,0.35590994371482176,621,0.06874406194171136,0.406890692533133,0.6157090142329995
0.0,1.0,2006,1,5376,162408,1860,0.34598214285714285,661,0.08066828535090761,0.40285418556761954,0.6005376344086022
0.0,1.0,2007,1,6124,242939,2103,0.34340300457217504,656,0.08963148223141593,0.39477409267929187,0.6310033285782216
0.0,1.0,2008,1,6388,292971,2251,0.3523794614902943,660,0.09143929515703668,0.3935174129335006,0.5890715237672146
0.0,1.0,2009,1,6142,247685,2114,0.34418756105503095,610,0.09635139525745828,0.39165142728190727,0.5629139072847682
0.0,1.0,2010,1,5716,191704,1929,0.3374737578726382,606,0.08997294036803141,0.3956622900557462,0.5790565059616382
0.0,1.0,2011,1,5647,178568,1908,0.33787851956791215,644,0.0886799045396411,0.39442416069878616,0.5927672955974843
0.0,1.0,2012,1,5826,185481,1923,0.33007209062821835,594,0.09384631235483426,0.39560292789609924,0.5949037961518461
0.0,1.0,2013,1,6028,188732,1951,0.3236562707365627,624,0.09648037608228877,0.39606143602615523,0.593029215786776
0.0,1.0,2014,1,6058,188323,2082,0.3436777814460218,680,0.08543289030628017,0.39721599707736976,0.6095100864553313
0.0,1.0,2015,1,6044,190686,2040,0.3375248180013236,684,0.08945069204152244,0.39880117133730075,0.5946078431372549
0.0,1.0,2016,1,6445,224801,2052,0.31838634600465476,708,0.08729229126530859,0.4031702530735493,0.6008771929824561
0.0,1.0,2017,1,7748,301745,2497,0.32227671657201856,831,0.07474263469387131,0.41299688317858435,0.6535843011613937
0.0,1.0,2018,1,7419,290091,2242,0.3021970615985982,743,0.09007823236708017,0.4100734158206799,0.5789473684210527
