min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t,density
0.0,0.005,1990,0,12181,216494,4724,0.3878170921927592,1058,0.1437365433934559,0.36716926598222216,,0.002918405457690778
0.0,0.005,1991,0,12261,228855,4598,0.3750101949270043,795,0.11501095186533625,0.33315153129280317,0.5167464114832536,0.003044907040227419
0.0,0.005,1992,0,12601,244445,5072,0.4025077374811523,1073,0.10637140632308015,0.3359590146082829,0.5167586750788644,0.0030791836878655385
0.0,0.005,1993,0,12705,255216,4851,0.38181818181818183,814,0.158362109859592,0.36992541489980985,0.5019583591012162,0.003162443235720085
0.0,0.005,1994,0,12826,266919,4883,0.38071105566817404,912,0.12243520706883912,0.3292007289510262,0.5183288961703871,0.0032453450274159855
0.0,0.005,1995,0,13241,278687,5132,0.38758401933388714,1086,0.15325553478578613,0.3705262064562234,0.5210444271239283,0.0031793470386657207
0.0,0.005,1996,0,13414,298021,5086,0.3791561055613538,800,0.16491362331175508,0.3712980216540716,0.4946913094769957,0.0033127803138584813
0.0,0.005,1997,0,13637,307280,5290,0.38791523062257094,1032,0.14686568444223688,0.37224034471906875,0.5032136105860113,0.0033049010172035327
0.0,0.005,1998,0,13719,320702,5303,0.38654420876157153,1010,0.11127836761852695,0.33628687188611994,0.49952856873467844,0.003408147713450551
0.0,0.005,1999,0,14114,349137,5311,0.37629304236927874,786,0.16522235959294954,0.37391064146281694,0.4921860289964225,0.0035055520262217625
0.0,0.005,2000,0,14634,390391,5389,0.3682520158534919,902,0.12065666709857997,0.33510655295402886,0.49192800148450544,0.0036461402450877283
0.0,0.005,2001,0,14907,417203,5498,0.36882001744147047,910,0.12323916590721641,0.3373658250100843,0.4652600945798472,0.0037551392811377587
0.0,0.005,2002,0,15484,620602,6149,0.3971196073366055,995,0.12457487332585192,0.3939499735396974,0.5220361034314522,0.005177318585747991
0.0,0.005,2003,0,15714,578826,6028,0.3836069746722668,950,0.13942956536825044,0.3871141828472055,0.46101526211015265,0.004688481072537613
0.0,0.005,2004,0,15879,595851,5898,0.3714339693935386,922,0.11718831299722733,0.3414008156655444,0.46541200406917604,0.00472659859884291
0.0,0.005,2005,0,16159,666676,6043,0.37397116158178106,919,0.1451956001022952,0.3888895720573951,0.47128909482045345,0.005106728062670871
0.0,0.005,2006,0,16472,730023,6303,0.38264934434191356,900,0.14065590679818257,0.39030006722046123,0.45184832619387594,0.005381461505230218
0.0,0.005,2007,0,16736,765813,6127,0.3660970363288719,930,0.10889171425063565,0.32995867359429665,0.4382242533050432,0.005468589776181518
0.0,0.005,2008,0,16906,815066,6582,0.38932923222524546,1094,0.13450160705499498,0.39059640421793435,0.4683986630203586,0.005703832101457848
0.0,0.005,2009,0,17131,872841,6361,0.3713151596520927,801,0.14743600595724599,0.39139068148092065,0.4217890268825656,0.005948740932267995
0.0,0.005,2010,0,17174,934834,6317,0.36782345405846045,775,0.1497053877823119,0.391863063936227,0.4359664397657116,0.006339381184566859
0.0,0.005,2011,0,17310,971571,6412,0.370421721548238,918,0.14686470782130653,0.39205486637106346,0.43325015595757954,0.006485380973603158
0.0,0.005,2012,0,17486,995977,6228,0.35617065080635935,847,0.11884752762608133,0.3459681279691927,0.43914579319203595,0.006515131628158853
0.0,0.005,2013,0,17504,1016553,6804,0.38871115173674586,1106,0.13385752614310978,0.3932317683875765,0.4679600235155791,0.006636058785848256
0.0,0.005,2014,0,17479,1032017,6536,0.3739344356084444,943,0.14052792443021533,0.39346992843836937,0.412484700122399,0.006756293843950423
0.0,0.005,2015,0,17472,1028975,6902,0.39503205128205127,1189,0.12924743234357464,0.3938149005752899,0.43248333816285134,0.006741777792733663
0.0,0.005,2016,0,17476,1023404,6884,0.3939116502632181,1211,0.12559971146324195,0.3951235101853644,0.41981406159209766,0.006702207744706741
0.0,0.005,2017,0,17476,1054868,6890,0.3942549782558938,1225,0.12534954215212724,0.3953702395367195,0.4178519593613933,0.006908263480740069
0.0,0.005,2018,0,17641,1120378,6751,0.38268805623263985,1113,0.1317662556660028,0.3973553389121773,0.42141904902977334,0.007200667996541246
0.0,0.005,2019,0,17784,1183531,6970,0.39192532613585246,1162,0.12663343001055968,0.3997468852684497,0.43586800573888096,0.007484713055823253
0.0,0.005,2020,0,17958,1255920,6970,0.3881278538812785,1140,0.12486067569765073,0.40163253304135954,0.4233859397417503,0.007789332131566256
0.0,0.005,2021,0,17834,1301033,6668,0.37389256476393407,963,0.13246345931773454,0.40274565916699884,0.40521895620875825,0.008181729860709551
0.0,0.005,2022,0,17813,1279384,6933,0.38921012743501937,1067,0.1235735982297355,0.4041127438201169,0.425933939131689,0.008064568895243244
0.0,0.005,2023,0,17860,1324069,6579,0.3683650615901456,956,0.1323232472355756,0.40602596396915086,0.40325277397780823,0.008302368804484199
0.0,0.01,1990,0,12355,281259,4495,0.36382031566167544,1042,0.1224038574562516,0.3816288315752624,,0.0036854122684726117
0.0,0.01,1991,0,12430,297125,4254,0.3422365245374095,729,0.141600405293483,0.3824630585686407,0.5148095909732017,0.0038464657856787455
0.0,0.01,1992,0,12770,317420,4756,0.37243539545810495,1011,0.12475808522332199,0.38391657514065447,0.5496215306980656,0.003893287709264061
0.0,0.01,1993,0,12867,330117,4694,0.3648092018341494,918,0.1277528593101928,0.3844303197584314,0.5230080954409885,0.0039882009936741646
0.0,0.01,1994,0,13008,345717,5018,0.3857626076260763,1157,0.11944095715368873,0.38489119401546834,0.5294938222399362,0.00408660877183078
0.0,0.01,1995,0,13410,360814,4734,0.3530201342281879,907,0.13712192484715827,0.3849971152794332,0.4896493451626531,0.0040131760091458605
0.0,0.01,1996,0,13579,385494,4862,0.35805287576404743,879,0.1362461189208836,0.38600868667770094,0.5168654874537227,0.004181614816385039
0.0,0.01,1997,0,13789,396727,5123,0.37152802958880266,1092,0.12236392513064041,0.3867252818970236,0.5194222135467499,0.004173377857835538
0.0,0.01,1998,0,13879,414424,5074,0.36558829886879457,976,0.12754116490213657,0.38679166018128897,0.4984233346472211,0.004303183191983925
0.0,0.01,1999,0,14264,449948,5207,0.3650448681996635,990,0.13126776164319723,0.38874863569190765,0.5070097945073939,0.004423235973801822
0.0,0.01,2000,0,14808,501442,5202,0.3512965964343598,935,0.1345729417352123,0.38937693994294575,0.4969242599000384,0.004573905847165822
0.0,0.01,2001,0,15057,535073,5565,0.3695955369595537,1202,0.1189935815313428,0.3904062110778348,0.5087151841868822,0.0047205758041510976
0.0,0.01,2002,0,15636,787666,6239,0.3990150933742645,1292,0.09073741864540384,0.40869117588257536,0.5239621734252284,0.006443896371914198
0.0,0.01,2003,0,15871,737923,6083,0.3832776762648856,1132,0.10349610810118096,0.4022579169428924,0.4673680749630117,0.005859490090969342
0.0,0.01,2004,0,16032,758157,6004,0.374500998003992,1119,0.11045589859924607,0.40038481698295014,0.4698534310459693,0.005899848048896281
0.0,0.01,2005,0,16306,845946,6136,0.37630320127560407,1084,0.10629910426678045,0.40363250129197936,0.46707953063885266,0.0063636223102529355
0.0,0.01,2006,0,16621,921910,5991,0.36044762649660067,969,0.11536163088453971,0.4050122888772669,0.4513436821899516,0.006674678510816388
0.0,0.01,2007,0,16897,964148,6306,0.37320234361129195,1209,0.10724128742716448,0.40508268789759455,0.46844275293371396,0.006754297651905215
0.0,0.01,2008,0,17066,1023997,6405,0.3753076292042658,1182,0.10572236634508679,0.40537760144035934,0.4512099921935987,0.007032190806145864
0.0,0.01,2009,0,17274,1093439,6354,0.36783605418548104,1090,0.10906852436891736,0.4062387372296641,0.4501101668240478,0.007329323101898873
0.0,0.01,2010,0,17322,1165992,6450,0.372358850017319,988,0.10952139895438973,0.40644402366854654,0.4493023255813954,0.00777238975047798
0.0,0.01,2011,0,17458,1209391,6413,0.3673387558712338,1204,0.1078696110049929,0.4067688047088075,0.4394199282707001,0.0079365659048012
0.0,0.01,2012,0,17622,1237271,6535,0.37084326410169105,1157,0.10599679554912662,0.40696723596064377,0.4466717674062739,0.007969096416932853
0.0,0.01,2013,0,17651,1261262,6457,0.36581496799048213,969,0.11117088688278413,0.40740021193943193,0.43689019668576734,0.008096946733831899
0.0,0.01,2014,0,17624,1278735,6509,0.3693259192010894,1068,0.10732254601160746,0.4075633861307836,0.43969887847595635,0.008234291222147099
0.0,0.01,2015,0,17608,1275064,6706,0.3808496138119037,1225,0.10129708326599281,0.4076950399589067,0.44407992842230837,0.008225581049749249
0.0,0.01,2016,0,17628,1266201,6530,0.3704334014068527,1102,0.10776522071532262,0.4086920231041895,0.4228177641653905,0.0081498797620134
0.0,0.01,2017,0,17613,1304365,6484,0.3681371714074831,1097,0.10711575515833402,0.4091781340973393,0.4355336212214682,0.008409828136901389
0.0,0.01,2018,0,17785,1382796,6451,0.36272139443351137,1084,0.10828080210016477,0.4112249787693725,0.4377615873507983,0.008743892125807695
0.0,0.01,2019,0,17930,1456535,6916,0.3857222532069158,1348,0.09481567791436592,0.41355577438206154,0.44852515905147483,0.00906180190145196
0.0,0.01,2020,0,18102,1541760,6815,0.3764777372666004,1248,0.09607741328442881,0.4151611720928336,0.4296404988994864,0.009410607079192898
0.0,0.01,2021,0,17973,1595514,6845,0.38084905135481,1416,0.09182764981236936,0.4164498363728571,0.4376917457998539,0.009879014679003444
0.0,0.01,2022,0,17953,1570572,6981,0.388848660391021,1430,0.0886586981206135,0.4175981683018412,0.4419137659361123,0.009746259618474978
