min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t
0.0,1.0,1990,0,12593,397239,3448,0.2738029063765584,1072,0.09410445411038916,0.41162049777169885,
0.0,1.0,1991,0,12657,417466,3616,0.2856917120960733,1154,0.08241578725820349,0.4133917867611408,0.5929203539823009
0.0,1.0,1992,0,12986,445814,3759,0.28946557831510855,1286,0.08137936364271374,0.4152633529049727,0.5759510508113861
0.0,1.0,1993,0,13079,461959,3839,0.29352396972245587,1327,0.07946731428401604,0.4151527021504853,0.5673352435530086
0.0,1.0,1994,0,13207,483525,3853,0.29173922919663814,1333,0.08151359772441806,0.41515482169416695,0.5689073449260317
0.0,1.0,1995,0,13617,503236,3796,0.2787691855768525,1216,0.08744924222824536,0.41568870021499266,0.5640147523709167
0.0,1.0,1996,0,13774,535092,3953,0.28698998112385654,1165,0.08321986477974279,0.416498071343238,0.5689349860865165
0.0,1.0,1997,0,13990,548813,4082,0.2917798427448177,1355,0.08016048276380261,0.4171564784342556,0.563939245467908
0.0,1.0,1998,0,14084,572367,4033,0.2863533087191139,1212,0.08411235868429615,0.41690135156428654,0.5546739399950409
0.0,1.0,1999,0,14465,616762,4284,0.2961631524369167,1477,0.07670453802436006,0.4188051907870423,0.5651260504201681
0.0,1.0,2000,0,15000,683122,4381,0.29206666666666664,1423,0.07754506930880221,0.41958099234707047,0.5503309746633189
0.0,1.0,2001,0,15252,725997,4497,0.29484657749803306,1455,0.07487100460668338,0.4201660234278094,0.536579942183678
0.0,1.0,2002,0,15823,1036508,5255,0.33211148328382734,1659,0.05308121212999081,0.43589974014628263,0.5828734538534729
0.0,1.0,2003,0,16064,977125,5070,0.31561254980079684,1513,0.06251337293667743,0.4302559048796445,0.516370808678501
0.0,1.0,2004,0,16228,1000259,5137,0.31655163914222334,1560,0.0637287400560443,0.42866128420366756,0.5232626046330543
0.0,1.0,2005,0,16469,1106209,5118,0.31076568097637985,1432,0.06448167139829834,0.431184359603292,0.5089878858929269
0.0,1.0,2006,0,16779,1197019,5313,0.3166458072590738,1639,0.059583918347083355,0.4326052488964082,0.5134575569358177
0.0,1.0,2007,0,17059,1247769,5414,0.31736913066416556,1725,0.059668328318446526,0.4322073855210889,0.5097894347986701
0.0,1.0,2008,0,17229,1318524,5487,0.3184746648093331,1637,0.059200750492349505,0.4324575453272949,0.48715144887916895
0.0,1.0,2009,0,17423,1400948,5582,0.3203811054353441,1583,0.05798883163508236,0.4331089285840512,0.4980293801504837
0.0,1.0,2010,0,17478,1484113,5671,0.32446504176679253,1610,0.057147861547430574,0.43314438859011956,0.4896843590195733
0.0,1.0,2011,0,17612,1535196,5592,0.3175107880990234,1600,0.05841819296317445,0.4332296760445772,0.4853361945636624
0.0,1.0,2012,0,17767,1567243,5726,0.32228288399842403,1580,0.05791855302985846,0.4332092322009,0.4896961229479567
0.0,1.0,2013,0,17813,1594207,5724,0.32133834839723796,1651,0.058284389633360544,0.43359051641044694,0.48549965059399025
0.0,1.0,2014,0,17768,1613834,5550,0.3123592976136875,1499,0.06195880204528854,0.4335807120045811,0.4790990990990991
0.0,1.0,2015,0,17773,1610502,5735,0.3226804703764137,1679,0.05986949009926202,0.4335398734463015,0.4894507410636443
0.0,1.0,2016,0,17782,1600252,5724,0.32189854909459004,1671,0.059534169270730346,0.4342416739401271,0.47589098532494756
0.0,1.0,2017,0,17775,1645430,5783,0.32534458509142056,1702,0.05639452145105376,0.4350794030800922,0.4909216669548677
0.0,1.0,2018,0,17944,1738169,5716,0.3185465893892109,1672,0.05702554454097641,0.4367141916469104,0.4828551434569629
0.0,1.0,2019,0,18065,1825458,5840,0.3232770550788818,1754,0.054254961062112944,0.4386493354696459,0.4965753424657534
0.0,1.0,2020,0,18242,1921388,5839,0.3200855169389321,1679,0.05466854340396928,0.4397029978141136,0.47679397157047443
0.0,1.0,2021,0,18118,1983661,5936,0.3276299812341318,1764,0.051219068082911316,0.4409604601123682,0.4932614555256065
0.0,1.0,2022,0,18090,1954473,5947,0.3287451630735213,1825,0.05130542028827085,0.44196184247146014,0.4820918109971414
0.0,1.0,2023,0,18159,2009733,5842,0.32171375075720027,1749,0.05184007343440019,0.44298790919323916,0.4762067785005135
0.0,1.0,1990,1,12593,397239,3651,0.2899229730802827,1142,0.08428400393974374,0.4117214125089156,
0.0,1.0,1991,1,12657,417466,3661,0.2892470569645256,1178,0.08057101881000414,0.4133181318324459,0.5837202950013658
0.0,1.0,1992,1,12986,445814,3751,0.2888495302633605,1311,0.08145521809131355,0.41525739110916327,0.5771794188216476
0.0,1.0,1993,1,13079,461959,3718,0.2842724978973928,1243,0.08524902911876886,0.4151273362648114,0.5559440559440559
0.0,1.0,1994,1,13207,483525,3800,0.28772620579995456,1249,0.08450900277008308,0.4151115533154438,0.5668421052631578
0.0,1.0,1995,1,13617,503236,3917,0.2876551369611515,1320,0.08311765795868041,0.4155713488484675,0.5688026550931835
0.0,1.0,1996,1,13774,535092,3879,0.2816175402933062,1225,0.08553330939443562,0.41663196810698894,0.5622583139984532
0.0,1.0,1997,1,13990,548813,4012,0.28677626876340245,1326,0.0842349571425305,0.4169948622515975,0.572283150548355
0.0,1.0,1998,1,14084,572367,3985,0.28294518602669694,1203,0.08588940018167254,0.41705846269960833,0.564366373902133
0.0,1.0,1999,1,14465,616762,4275,0.2955409609402005,1404,0.07699517800348826,0.41880881265069697,0.5707602339181286
0.0,1.0,2000,1,15000,683122,4379,0.2919333333333333,1433,0.07734536748993164,0.41962222473569344,0.5510390500114182
0.0,1.0,2001,1,15252,725997,4426,0.29019145030159976,1410,0.07729752444628943,0.4201658633411449,0.5404428377767736
0.0,1.0,2002,1,15823,1036508,5168,0.32661315806105035,1564,0.05490248995964688,0.4359072379502604,0.5822368421052632
0.0,1.0,2003,1,16064,977125,5039,0.3136827689243028,1606,0.06298169377092455,0.43026686950149257,0.5129986108354831
0.0,1.0,2004,1,16228,1000259,5100,0.31427162928272123,1546,0.06431926182237599,0.42865558550824756,0.5247058823529411
0.0,1.0,2005,1,16469,1106209,5231,0.317627056894772,1630,0.06169223875678136,0.43120029193152865,0.5201682278722998
0.0,1.0,2006,1,16779,1197019,5309,0.31640741402944156,1628,0.05952323467532806,0.4326017508515151,0.5093237897909211
