source,K,year,pp_median,rank_median,rank_norm_median,n_active,rank_q25,rank_q75
news,6,1990,1617.6,483.5,0.213938,2260,368.9,636.0
news,6,1991,988.1,311.4,0.202471,1538,242.5,412.3
news,6,1992,1223.7,342.0,0.148308,2306,239.2,485.4
news,6,1993,1104.9,283.6,0.1206,2352,180.8,425.1
news,6,1994,1196.6,289.2,0.114083,2535,199.9,415.8
news,6,1995,1016.0,266.7,0.106851,2496,176.5,387.4
news,6,1996,869.6,232.8,0.092601,2514,149.5,358.5
news,6,1997,846.3,237.6,0.091174,2606,151.0,377.2
news,6,1998,907.7,227.5,0.052323,4348,146.0,353.4
news,6,1999,766.2,161.6,0.035134,4598,102.8,277.5
news,6,2000,725.2,156.6,0.033544,4667,95.8,260.3
news,6,2001,662.3,133.9,0.029102,4601,80.5,222.6
news,6,2002,650.9,122.0,0.025908,4707,73.3,208.8
news,6,2003,675.4,118.6,0.024662,4809,76.1,203.3
news,6,2004,620.8,116.7,0.022963,5082,71.7,200.2
news,6,2005,617.4,116.5,0.022271,5231,70.8,199.0
news,6,2006,639.9,112.5,0.0214,5257,68.9,195.0
news,6,2007,645.2,112.8,0.018843,5989,70.5,194.5
news,6,2008,632.3,105.6,0.017076,6187,66.8,174.9
news,6,2009,620.7,103.8,0.017297,6004,64.4,181.4
news,6,2010,624.6,101.9,0.018142,5617,60.7,170.6
news,6,2011,597.9,100.8,0.018179,5545,60.7,175.9
news,6,2012,587.3,99.4,0.017326,5737,59.5,176.1
news,6,2013,603.9,98.0,0.016635,5894,58.2,176.4
news,6,2014,599.0,95.2,0.0161,5916,56.9,175.5
news,6,2015,588.9,93.0,0.015646,5944,56.2,171.1
news,6,2016,596.7,92.2,0.014521,6346,55.6,167.4
news,6,2017,624.2,92.0,0.012716,7235,56.4,170.8
news,6,2018,603.9,90.3,0.012783,7064,54.6,167.7
news,6,2019,610.6,89.2,0.011918,7480,54.0,175.5
news,6,2020,577.0,87.2,0.012204,7149,54.1,165.9
news,6,2021,602.8,87.6,0.012525,6990,52.7,166.7
news,6,2022,589.7,88.7,0.012714,6977,53.8,167.6
news,6,2023,619.5,88.0,0.011646,7560,53.9,167.1
news,8,1990,1613.5,490.2,0.216909,2260,394.2,626.4
news,8,1991,983.9,311.8,0.202722,1538,252.2,390.5
news,8,1992,1212.4,348.2,0.151004,2306,249.5,458.2
news,8,1993,1102.4,286.6,0.121857,2352,195.9,394.6
news,8,1994,1205.0,295.5,0.116582,2535,206.8,400.5
news,8,1995,1022.5,276.7,0.110863,2496,188.3,380.4
news,8,1996,878.1,238.2,0.094755,2514,160.1,344.5
news,8,1997,843.2,243.2,0.093329,2606,159.7,353.2
news,8,1998,913.5,229.6,0.0528,4348,152.9,328.4
news,8,1999,759.9,164.6,0.0358,4598,108.1,253.0
news,8,2000,719.5,155.9,0.033411,4667,102.4,239.2
news,8,2001,652.9,132.4,0.028775,4601,85.9,207.5
news,8,2002,643.5,121.8,0.025873,4707,78.0,195.7
news,8,2003,663.3,118.4,0.024619,4809,78.9,186.9
news,8,2004,611.5,117.7,0.023163,5082,75.8,182.1
news,8,2005,610.4,115.6,0.0221,5231,73.7,181.0
news,8,2006,630.3,111.9,0.021284,5257,71.0,175.6
news,8,2007,633.1,111.4,0.018594,5989,74.0,175.2
news,8,2008,621.2,104.4,0.016873,6187,69.4,161.1
news,8,2009,615.0,104.5,0.017411,6004,66.8,166.1
news,8,2010,620.4,100.5,0.017892,5617,64.2,156.4
news,8,2011,590.3,99.4,0.017924,5545,63.9,161.2
news,8,2012,581.9,99.3,0.017312,5737,63.0,163.2
news,8,2013,599.5,96.4,0.016348,5894,61.3,161.1
news,8,2014,592.0,94.4,0.015956,5916,60.6,159.2
news,8,2015,582.1,95.9,0.016127,5944,60.3,159.6
news,8,2016,588.2,93.4,0.014716,6346,59.4,156.2
news,8,2017,616.5,93.7,0.012953,7235,59.3,156.6
news,8,2018,591.2,92.0,0.013024,7064,57.9,156.1
news,8,2019,611.7,91.1,0.01218,7480,57.1,156.9
news,8,2020,570.2,89.8,0.012554,7149,56.4,151.9
news,8,2021,595.4,88.5,0.012666,6990,55.3,153.4
news,8,2022,580.7,89.3,0.012797,6977,55.9,152.8
news,8,2023,611.1,88.6,0.011725,7560,55.7,155.1
paper,6,1990,10467.6,1043.4,0.082965,12577,673.7,1550.6
paper,6,1991,3591.4,676.9,0.053561,12638,406.4,1094.4
paper,6,1992,2334.7,596.3,0.045979,12969,346.4,947.8
paper,6,1993,2018.3,551.3,0.042203,13063,316.8,894.8
paper,6,1994,1840.9,526.0,0.039879,13190,291.0,859.8
paper,6,1995,1684.5,502.3,0.036928,13602,278.7,813.5
paper,6,1996,1542.0,481.1,0.034974,13756,274.1,799.0
paper,6,1997,1448.0,471.5,0.033739,13975,269.5,786.4
paper,6,1998,1373.1,463.3,0.032933,14068,258.8,761.1
paper,6,1999,1318.3,455.8,0.03155,14445,254.8,746.3
paper,6,2000,1334.9,444.4,0.029674,14976,249.2,740.4
paper,6,2001,1300.6,437.1,0.028696,15232,244.9,717.5
paper,6,2002,1246.8,436.5,0.027614,15807,244.4,722.9
paper,6,2003,1229.8,423.4,0.026403,16038,234.8,710.1
paper,6,2004,1232.1,418.4,0.025832,16199,234.2,695.9
paper,6,2005,1202.3,420.0,0.025523,16454,230.7,693.1
paper,6,2006,1167.1,409.6,0.024439,16760,226.9,680.5
paper,6,2007,1138.9,410.1,0.024071,17037,221.4,682.5
paper,6,2008,1120.1,404.3,0.023512,17195,225.2,677.6
