source,year,n_nodes_active,n_edges_total,total_weight,target_edges_3N,implied_alpha,retention_rate,backbone_nodes,node_coverage,mean_degree_backbone,weight_share_retained,n_components,lcc_share,mst_added_edges,mst_added_share,n_components_with_mst,lcc_share_with_mst,union_nodes,union_node_coverage,union_edges,mean_degree_union,weight_share_union,n_edges_alpha_lt_0.05,retention_alpha_0.05,mean_degree_alpha_0.05,sens10_target_edges,sens10_implied_alpha,sens10_jaccard_vs_3N,sens10_mean_degree,jaccard_alpha_vs_topweight
news,1990,2260,40084,8863.088859464973,6780,0.20296597687870757,0.16914479592855006,1313,0.5809734513274336,10.327494287890328,0.5635054763254799,9,0.9832444782939832,1041,0.15353982300884955,5,0.9960176991150442,2260,1.0,7821,6.921238938053097,0.5841087827529371,2355,0.058751621594651235,2.084070796460177,4008,0.11258312196803083,0.5911504424778761,3.5469026548672566,0.6564866845834352
news,1991,1538,14386,3952.5470943562686,4614,0.3682422391908873,0.32072848602808285,1112,0.7230169050715215,8.298561151079136,0.6783678107865635,2,0.9937050359712231,647,0.1402254009536194,10,0.988296488946684,1538,1.0,5261,6.841352405721716,0.7114950912773426,761,0.05289865146670374,0.9895968790637191,1439,0.12132001066645803,0.311876896402254,1.8712613784135241,0.6113148245154532
news,1992,2306,38797,10316.10145163536,6918,0.21176721589257497,0.17831275614093872,1329,0.5763226366001735,10.410835214446953,0.6103704699180985,8,0.9841986455981941,1088,0.15727088753975138,1,1.0,2306,1.0,8006,6.943625325238508,0.6280659535397173,2385,0.06147382529577029,2.0685169124024285,3880,0.10857586228676251,0.5608557386527898,3.365134431916739,0.6520597014925373
news,1993,2352,37597,8866.242631591856,7056,0.22714663250978806,0.1876745485012102,1445,0.6143707482993197,9.766089965397924,0.5887792655747204,6,0.9896193771626297,1068,0.15136054421768708,4,0.9974489795918368,2352,1.0,8124,6.908163265306122,0.6101298556445915,2201,0.05854190493922387,1.8715986394557824,3760,0.11531622596230649,0.5328798185941043,3.197278911564626,0.6224419406760174
news,1994,2535,46120,12156.474333621562,7605,0.19244779579352456,0.1648959236773634,1497,0.5905325443786982,10.160320641282565,0.5941897133020092,7,0.9906479625918504,1150,0.15121630506245892,4,0.9976331360946745,2535,1.0,8755,6.907297830374754,0.6117576134622627,2886,0.06257588898525586,2.276923076923077,4612,0.1060427739385271,0.6064431295200526,3.6386587771203156,0.6288284429213964
news,1995,2496,40410,9862.74062769115,7488,0.222052684263421,0.18530066815144766,1508,0.6041666666666666,9.931034482758621,0.5966929679379019,4,0.9953580901856764,1127,0.15050747863247863,4,0.9967948717948718,2496,1.0,8615,6.903044871794871,0.6170126864654313,2364,0.0585003711952487,1.8942307692307692,4041,0.11203554527766267,0.5396634615384616,3.237980769230769,0.6381535768978341
news,1996,2514,34072,7769.0161939412355,7542,0.27112625106883426,0.22135477811692886,1610,0.6404136833731106,9.368944099378883,0.5879974057346796,2,0.9987577639751553,1142,0.15141872182444974,9,0.9916467780429594,2514,1.0,8684,6.9085123309466985,0.614074710466937,1745,0.05121507396102371,1.3882259347653143,3407,0.12638250079946087,0.45173693980376556,2.7104216388225937,0.6438535309503052
news,1997,2606,38438,8926.376043293625,7818,0.24294627734478197,0.2033924761954316,1684,0.6462010744435918,9.28503562945368,0.5510992888772495,11,0.9863420427553444,1174,0.15016628293681247,2,0.998848810437452,2606,1.0,8992,6.900997697620875,0.5758624914371021,1951,0.05075706332275352,1.4973138910207213,3844,0.12349015854008433,0.4916858531593758,2.950115118956255,0.6228334198235599
news,1998,4348,125991,53069.41970940679,13044,0.09564331203623928,0.10353120460985309,2327,0.5351885924563018,11.211001289213579,0.6029647929216958,12,0.9879673399226472,2116,0.16222017785955228,2,0.9993100275988961,4348,1.0,15160,6.973321067157314,0.61342691279096,9236,0.0733068235032661,4.248390064397424,12599,0.09053651151855843,0.9658846979454155,5.795308187672493,0.669525150390375
news,1999,4598,138476,59871.50648834929,13794,0.08922153807307728,0.09961292931627141,2428,0.5280556763810352,11.362438220757825,0.6169236697206971,14,0.9868204283360791,2253,0.1633318834275772,2,0.9995650282731623,4598,1.0,16047,6.979991300565463,0.6264988078491944,10220,0.07380340275571218,4.445411048281862,13848,0.08975731500605176,0.9961005199306759,6.023488473249238,0.6722026912353013
