source,year,n_nodes,n_core,core_share,n_pairs_with_core
news,1990,2260,713,0.3154867256637168,369
news,1991,1538,669,0.43498049414824447,297
news,1992,2306,748,0.32437120555073723,371
news,1993,2352,818,0.34778911564625853,395
news,1994,2535,806,0.31794871794871793,374
news,1995,2496,896,0.358974358974359,407
news,1996,2514,952,0.3786793953858393,463
news,1997,2606,1025,0.3933231005372218,505
news,1998,4348,1358,0.312327506899724,651
news,1999,4598,1383,0.30078294910830794,666
news,2000,4667,1406,0.30126419541461325,692
news,2001,4601,1416,0.3077591827863508,676
news,2002,4707,1525,0.3239855534310601,754
news,2003,4809,1579,0.32834269078810563,750
news,2004,5082,1643,0.3232979142070051,776
news,2005,5231,1671,0.3194417893328236,781
news,2006,5257,1726,0.3283241392429142,817
news,2007,5989,1932,0.3225914175989314,867
news,2008,6187,1763,0.2849523193793438,817
news,2009,6004,1834,0.3054630246502332,869
news,2010,5617,1646,0.29303898878404844,819
news,2011,5545,1726,0.31127141568981065,827
news,2012,5737,1699,0.296147812445529,847
news,2013,5894,1890,0.32066508313539194,871
news,2014,5916,1790,0.30256930358350237,861
news,2015,5944,1796,0.3021534320323015,910
news,2016,6346,1996,0.31452883706271667,943
news,2017,7235,1966,0.2717346233586731,969
news,2018,7064,1745,0.24702718006795016,896
news,2019,7480,2871,0.38382352941176473,1428
news,2020,7149,2447,0.3422856343544552,783
news,2021,6990,2262,0.3236051502145923,1081
news,2022,6977,1879,0.26931345850652144,746
news,2023,7560,2376,0.3142857142857143,731
paper,1990,12577,4209,0.3346585036177149,2169
paper,1991,12638,4154,0.3286912486152872,2136
paper,1992,12969,4220,0.32539131775772995,2198
paper,1993,13063,4346,0.33269539921916863,2217
paper,1994,13190,4373,0.3315390447308567,2188
paper,1995,13602,4351,0.3198794294956624,2222
paper,1996,13756,4594,0.3339633614422797,2243
paper,1997,13975,4655,0.3330948121645796,2273
paper,1998,14068,4459,0.31696047767984076,2230
paper,1999,14445,4746,0.3285565939771547,2342
paper,2000,14976,4742,0.31663995726495725,2353
paper,2001,15232,4858,0.31893382352941174,2403
paper,2002,15807,5034,0.3184665021825773,2298
paper,2003,16038,5135,0.3201770794363387,2329
paper,2004,16199,5428,0.3350824124945984,2354
paper,2005,16454,5497,0.3340828977756169,2369
paper,2006,16760,5653,0.337291169451074,2439
paper,2007,17037,5606,0.3290485414098726,2455
paper,2008,17195,5515,0.32073277115440535,2403
paper,2009,17403,5339,0.30678618628972015,2459
paper,2010,17459,5663,0.32435992897645916,2425
paper,2011,17582,5693,0.32379706518029805,2430
paper,2012,17741,5554,0.3130601431711854,2459
paper,2013,17783,5403,0.3038295000843502,2478
paper,2014,17745,5552,0.31287686672302056,2437
paper,2015,17750,5642,0.31785915492957745,2420
paper,2016,17737,5230,0.29486384394204207,2436
paper,2017,17737,5377,0.30315160399165586,2473
paper,2018,17910,5595,0.31239530988274705,2505
paper,2019,18025,5727,0.3177253814147018,2508
paper,2020,18200,5554,0.30516483516483517,2432
paper,2021,18068,5684,0.31458932920079696,2454
paper,2022,18044,5678,0.31467523830636224,2476
paper,2023,18111,6019,0.3323394622052896,2489
