source,year,n_nodes,n_edges,n_core,n_terminals,pairs,key_edge_traversal,mainpath_len_0.05,mainpath_len_0.1,mainpath_len_0.2,mainpath_0.05,mainpath_0.1,mainpath_0.2,mainpath_0.05_named,mainpath_0.1_named,mainpath_0.2_named
news,1990,2260,7821,713,713,253828,3094,9,9,9,29063 -> 1364 -> 1365 -> 1827 -> 17180 -> 16436 -> 26682 -> 22701 -> 6615,29063 -> 1364 -> 1365 -> 1827 -> 17180 -> 16436 -> 26682 -> 22701 -> 6615,29063 -> 1364 -> 1365 -> 1827 -> 17180 -> 16436 -> 26682 -> 22701 -> 6615,word of mouth advertising -> architectural services -> architecture -> automation -> motion pictures -> mercury -> theater -> reviews -> dancing,word of mouth advertising -> architectural services -> architecture -> automation -> motion pictures -> mercury -> theater -> reviews -> dancing,word of mouth advertising -> architectural services -> architecture -> automation -> motion pictures -> mercury -> theater -> reviews -> dancing
news,1991,1538,5261,669,669,223446,3973,8,8,6,25489 -> 5074 -> 8547 -> 26460 -> 1827 -> 13661 -> 10157 -> 18450,25489 -> 5074 -> 8547 -> 26460 -> 1827 -> 13661 -> 10157 -> 18450,5074 -> 8547 -> 26460 -> 1827 -> 13661 -> 10157,stocks (corporate) -> company and organization profiles -> electronic information systems -> telephones -> automation -> insurance agencies -> fires -> oil fields,stocks (corporate) -> company and organization profiles -> electronic information systems -> telephones -> automation -> insurance agencies -> fires -> oil fields,company and organization profiles -> electronic information systems -> telephones -> automation -> insurance agencies -> fires
news,1992,2306,8006,748,748,279378,5000,12,10,7,17948 -> 5906 -> 4837 -> 5023 -> 5277 -> 24651 -> 2049 -> 258 -> 1827 -> 17176 -> 137 -> 25415,4837 -> 5023 -> 5277 -> 24651 -> 2049 -> 258 -> 1827 -> 17176 -> 137 -> 25415,5277 -> 24651 -> 2049 -> 258 -> 1827 -> 17176 -> 137,new stock market listings -> corrections -> colleges & universities -> community colleges -> computer programming -> software -> bank automation -> acquisitions & mergers -> automation -> motion picture directors & producers -> academy awards -> stereotypes,colleges & universities -> community colleges -> computer programming -> software -> bank automation -> acquisitions & mergers -> automation -> motion picture directors & producers -> academy awards -> stereotypes,computer programming -> software -> bank automation -> acquisitions & mergers -> automation -> motion picture directors & producers -> academy awards
news,1993,2352,8124,818,818,334153,6176,14,14,8,20403 -> 12754 -> 599 -> 1827 -> 17945 -> 8547 -> 19703 -> 6686 -> 1472 -> 24651 -> 2049 -> 618 -> 10314 -> 5892,20403 -> 12754 -> 599 -> 1827 -> 17945 -> 8547 -> 19703 -> 6686 -> 1472 -> 24651 -> 2049 -> 618 -> 10314 -> 5892,12754 -> 599 -> 1827 -> 17945 -> 8547 -> 19703 -> 6686 -> 1472,"politics -> human relations -> agriculture -> automation -> new models, design and products -> electronic information systems -> personal computers -> data processing (computers) -> artificial intelligence -> software -> bank automation -> air conditioning -> floods -> corporate sponsorship","politics -> human relations -> agriculture -> automation -> new models, design and products -> electronic information systems -> personal computers -> data processing (computers) -> artificial intelligence -> software -> bank automation -> air conditioning -> floods -> corporate sponsorship","human relations -> agriculture -> automation -> new models, design and products -> electronic information systems -> personal computers -> data processing (computers) -> artificial intelligence"
news,1994,2535,8755,806,806,324415,5176,11,11,9,27847 -> 491 -> 1597 -> 24820 -> 8547 -> 19703 -> 1827 -> 595 -> 18137 -> 4829 -> 25116,27847 -> 491 -> 1597 -> 24820 -> 8547 -> 19703 -> 1827 -> 595 -> 18137 -> 4829 -> 25116,491 -> 1597 -> 24820 -> 8547 -> 19703 -> 1827 -> 595 -> 18137 -> 4829,united states international relations -> aerospace industries and sciences -> astronautics -> space -> electronic information systems -> personal computers -> automation -> agricultural production -> north central -> college football -> sports fans,united states international relations -> aerospace industries and sciences -> astronautics -> space -> electronic information systems -> personal computers -> automation -> agricultural production -> north central -> college football -> sports fans,aerospace industries and sciences -> astronautics -> space -> electronic information systems -> personal computers -> automation -> agricultural production -> north central -> college football
news,1995,2496,8615,896,896,400960,7731,12,12,10,28038 -> 3175 -> 12695 -> 13511 -> 5311 -> 1472 -> 22490 -> 8547 -> 19703 -> 1827 -> 1261 -> 26496,28038 -> 3175 -> 12695 -> 13511 -> 5311 -> 1472 -> 22490 -> 8547 -> 19703 -> 1827 -> 1261 -> 26496,3175 -> 12695 -> 13511 -> 5311 -> 1472 -> 22490 -> 8547 -> 19703 -> 1827 -> 1261,vacancies -> building permits -> housing prices -> information systems -> computers -> artificial intelligence -> research -> electronic information systems -> personal computers -> automation -> appliances -> temperature,vacancies -> building permits -> housing prices -> information systems -> computers -> artificial intelligence -> research -> electronic information systems -> personal computers -> automation -> appliances -> temperature,building permits -> housing prices -> information systems -> computers -> artificial intelligence -> research -> electronic information systems -> personal computers -> automation -> appliances
news,1996,2514,8684,952,952,452676,7427,20,10,6,26450 -> 2417 -> 4807 -> 13835 -> 3530 -> 13511 -> 5311 -> 1472 -> 24651 -> 6679 -> 2084 -> 8547 -> 29141 -> 1827 -> 1718 -> 17 -> 17180 -> 22851 -> 2639 -> 523,2084 -> 8547 -> 29141 -> 1827 -> 1718 -> 17 -> 17180 -> 22851 -> 2639 -> 523,2084 -> 8547 -> 29141 -> 1827 -> 1718 -> 17,telephone companies -> billings -> collections -> internal controls -> capital requirements -> information systems -> computers -> artificial intelligence -> software -> data mining -> banking industry -> electronic information systems -> world wide web -> automation -> audiences -> 3-d films -> motion pictures -> robots -> black people -> african americans,banking industry -> electronic information systems -> world wide web -> automation -> audiences -> 3-d films -> motion pictures -> robots -> black people -> african americans,banking industry -> electronic information systems -> world wide web -> automation -> audiences -> 3-d films
news,1997,2606,8992,1000,1000,499500,5958,10,10,8,27196 -> 5286 -> 5312 -> 26468 -> 8931 -> 21675 -> 1827 -> 5427 -> 3432 -> 20391,27196 -> 5286 -> 5312 -> 26468 -> 8931 -> 21675 -> 1827 -> 5427 -> 3432 -> 20391,5286 -> 5312 -> 26468 -> 8931 -> 21675 -> 1827 -> 5427 -> 3432,trademarks and trade names -> computer software -> computers and information systems -> television -> entertainment -> quality of life -> automation -> congressional investigations -> campaign contributions -> political parties,trademarks and trade names -> computer software -> computers and information systems -> television -> entertainment -> quality of life -> automation -> congressional investigations -> campaign contributions -> political parties,computer software -> computers and information systems -> television -> entertainment -> quality of life -> automation -> congressional investigations -> campaign contributions
news,1998,4348,15160,1000,1000,499500,3806,7,7,7,10693 -> 9804 -> 175 -> 1827 -> 22851 -> 11024 -> 10346,10693 -> 9804 -> 175 -> 1827 -> 22851 -> 11024 -> 10346,10693 -> 9804 -> 175 -> 1827 -> 22851 -> 11024 -> 10346,fraternities & sororities -> fatalities -> accidents -> automation -> robots -> gardens & gardening -> flowers & plants,fraternities & sororities -> fatalities -> accidents -> automation -> robots -> gardens & gardening -> flowers & plants,fraternities & sororities -> fatalities -> accidents -> automation -> robots -> gardens & gardening -> flowers & plants
news,1999,4598,16047,1000,1000,499500,5027,9,9,6,5241 -> 4133 -> 25879 -> 5277 -> 29208 -> 1827 -> 24651 -> 2680 -> 18366,5241 -> 4133 -> 25879 -> 5277 -> 29208 -> 1827 -> 24651 -> 2680 -> 18366,25879 -> 5277 -> 29208 -> 1827 -> 24651 -> 2680,computer based modeling -> chess -> supercomputers -> computer programming -> year 2000 -> automation -> software -> blindness -> occupational training,computer based modeling -> chess -> supercomputers -> computer programming -> year 2000 -> automation -> software -> blindness -> occupational training,supercomputers -> computer programming -> year 2000 -> automation -> software -> blindness
